[0,0] 71148017296107881999016787928703209206774825657627032238787302737045458931878237850761577888853461454222629122918546758387611965630785875834047399339335242685589115361917648737423787025754864462633195014807986860985279895874248921840842630806150329709426527433607127212954760367971335827934620480542481026961042229956227803956269362638630406900799627935112097986132066073952837914737225063548114252818504590816996788931250260166085749783364665648163549282170548905877156701352650311680902779158041950947809938736401616614744428270224120814242594115959231897438180957846521893082272070963478393909338175005893874361799254255333080740647756643046410693170989063867171131826079352821120102341044567296509960894492331564432168620757367747150737125302275034476600111213776953417256921783096517929707870366239246045184149868276200988211981461652702944613994187242617268624680719058529447497413730555361422733906292361507751649279640683741914564245125224299478264160524815568483329479402543439644736172824255067863671826222653499058120509113394035967537990094672674158409594512671551150864078246712801558841364840448000000000
[1,0] 1044160104150202890542348002322705843431195866007786017504920004329217830441119709060005471135889853989717368429360256994403135483672625058956394026651675715370019380392159163521410116197333012569384333089370453855212504562712342904413843431372786742096155684117293616107735071457449120091598606088609240189721563914958142710977678001179966273507977427644516177271899696531212161419312991500820910175538540646292502608789524368077873799260585064680576646280030501018675050887110693250873525343525000942601374494136928053010993163321264127479314468654601008487175555937803766481614964095747434711117814710013544917397074584544417950156881689403546154441569291673611059419222560273948873854268221588744030308949012985268097817266490955346963737002918517515023559662877934479613330185330022511205432694741135393500677122377315302388803616005977698643472751944459267841528675741015691349964478980051655394820683501860956438497453970879788674094858392709248491826401958457981431355359288532308081978371504616273172770008847910492700817873267241993829450121491768650037892948925318453405011994449824564781462323200000000000
[1,1] -241058018859258799214315708832838199215759667347530182190495814519318901564627199540211083758662857380290828827171667825766386930611865036380506617606846154393619308486392767232515774900384438951440590599437294420013438386699985744733578668294325328196993306312490721786263431260048194456492024553764989565732354936792900156230076377858970588001965633584352778961313477917588106907287427764307846655753394087291947934009666029582729619190313402836073818176268725038831084977031381454257111030422815644648695636167334179836195720874540656364668407541282949163263104018017661915148730047526965756353932501864627861168653828467267484323577115532180032933889932185329173222510301578714886977104160969563603607226980073510467375079775760819942384649363904728508456053081641373114784054352984217524657400803102967145948994895481299642055317054716917719810713801277056333108711559040533503189468290712989718954408319939939821997922841486151297738486344079135879272521126815362515702090702241578595651536924132422521200504290472543910767950827131075469191509973760664008020804617616883581470140948611982679256701337600000000
[2,0] 15151234988177462148081529277642551879737038433805441593538964425557982932100142531508447117890320708772638408294647598586331353791661669151489028251574636625839093220901901759136957463032893561137299688206498383316243898867983971920278229678670828017660020887341946158634692659645310136847507718835569686997508223777506818546739430727368152269658666706671808109412733568467818934894565039965253977952769985453264792122980534259999578995920433884822466598074933573688147005561652553122939231032682018334157368558207780882869182545589790207919747603091754582767635503555080649877519715755282966468351362574616348017845012280153818010035928539159054571862436142274153900101255663114448575144308273420546706706451099714664753869620790483643414548585088354095243830646505642848684528632329346909610179931398196065134354617440712286121441891773198517970850861846072459543674469655342761057061536469489437293079862714923174839155553129697699153102017109649235957671183791203296331714791431110894918314835989341127832293509260177596095287538629715657712412765400081784841103464297284587919740735673218380909772800000000000
[2,1] -953367386958942532513191974927467353417768078779133109414103869775423853499525060887744311872050629680177017114979945192703702627518467366531078245312060626177891344085377200093051643791719649072783261114830819013767734500112005497148484764728866121515155312014543326749721336485701744175339307334937569224225580558312831147961655901391903982121677692721622135134352586313050231101686357381113527265268855715468949431682689676793794979680503377526106112278530342417392484414344473117815464851285553581218126441958434793686865965599624169526181779137695305482889018415988921772114469365608632490481896275449941870655720518477969537048880709560091281898455131890728956983512024781191184925866275315139212088744492191216486271160596484553680370884345219196535010041682060957690325095284717512738328581712067706387046062810172923051678898026392392666559621234808943430180901170646633243427495522685688583065339885581314541107631804671826075658648017346224949768837272510895094097804567636465281389477226659255506479971713891696205197693485046212039857351711304739817881182787640234554391053567320328503715430400000000
[2,2] 128665972784587687069535944043915262272112429991496413176391500464172537989400191869607414234020655102717447936458499863749076300060060878243270120843515290404186865659452834913549347254488047599297243762196959075198368715456437496989089122927661698865862967971392800089648104971545066465028626826060124492887374170852323627015393791990819455826717834951677706521322162711159732545770932178149621454910353394762205548966997935508413837882772518332907058750011446827284852851874396997362750693239274124065785700974944895893542964137172491231245441132186161060754885346431980375357429385319888159226705186268498283225020898495676203428567749987076541413943667991041445804121032799874167395611340995353798729098102946655090063395612977323002240952784242918552269832434270426516152581560085939676607078882844498231218791950216923197428826476047729905239749315930257051186359273103472730096563256409257403565021048080068099520682694970340744215017881098080691386049464138557919327342973522063106098702745288305543676903892124196178848623516193581197738741108743793770841362503321763678449274793192145676937461760000000
[3,0] 83154096523615490132807629977306077178527583383091015187021334055854421080310024953965652527083268931803203832096005012857932429467366008274215283314175154172169369755338069102354515613886050990833878395826940317479584665570433866616693424944662099308786391544017336218873575999071902979138175053729946347126250012525763760933880272845195723502064748634345440362043457277758979829186627796065566963628601485316129635684067802783382845196783417861415963334234646233176992145504022584894911592290924575154339700459889945231495377011879618503431330665189322998194403228205845307016423056387932061156514707272860204062655506111027993507394102716049256300841050404362415245624091621672417442764793094214818021415768943652463516562775792731741587166518256264156506347195547451389243583923012228719479137905356949748891943139629871731204747563470417119420589480912276742370618496918975341242501771599857656624791059795659457417472035504665571589772869458770628423626671850386378781897398441818991281302766220989283689859347720384947636700413093822725429322788753930464503238874132097401158000448483399187824640000000000
[3,1] 33383361171222657767446602147621263415453271791994098981320535323968620675733184174172500305681543428970342527830235208746421663929516969316242157404003616770317393671122091462056966592274594674763112179955019675863599939148133371970551195335152227318748159924026084853328754394952676667226314687012096252629138948734630275290202341190645593068392135960828439261886259760182444553718808771389459468050762037696330606896698483099291316967645904293855631994178177624366713117579893397665742913101146930019709624859080531552960100114749435151689697912419546138256057654867315696587508359917673652916650579028200005059794935180051227611129233589768577929415142762867636722369590925149591452398718810056504973151049647503820187790397466195215061540783521265731295174047735163355362993111822493537982250682482702058163985244641708605633466381567567029201922197280848475908065237681297328328606064397692825710354141547824585916793731485026252921179446126757833977479780494316741972195025261019861127560109927151674744561008779303038697805740895361289668298406043634980284019316866255966373099894579593946312212480000000
[3,2] -1196231146261641607110576917144170569988540161444495379623633805438104682673399996593619225077124828023389696409039656921321697730305695977727333765198580662140711771121616666122810361486706386758944698499897425429271602045616424512767923508738832116345045805405044804274200639262993285254036761314254919143525398017253397893818274261138083730752882002811069677406318189975956868453578225034696097594962476778971968576510680503024747993900516229835893743710908107749459285998593564906348402398382929764844322808000965536048457910382048771665555681559085403472934013625576139684259385176162652824381883948944323834649687381928931612107512493998822711684074360250772788475084764410578687282426840756193101758236901066561061235505684322006606098248756812579775357356294399982211490049457042967993759595338784594104355563645342837138517931887230871524705151468484019605829634871572421472720270966747157267778341294903872276512116823396064352686583585419407793177412403433292742251685799090480573773738699389479608543150029318710714921909358267914897947838293482243634497658197673143159924365256864513287782400000000
[3,3] 9920938554704421694375057580210774887755667310779672061997896768577620897242672859460850866998180315443453469190767420957435493125392168675185081068288284458509217436110253205579411333493182894543482442371329537187310308792990541556397920902711193293960783123506265433274957819542825154623571115130146962809281032355144954398926901338720612586311277677675133115340545650091593438999794587262701699346630957944241474872053333487017514528791549366495136641000008334885997103504583641870468963888047587727533693462129971102595568153608465249572730785228722020327007939346956211699713313856304177688107162296067570200548758483882444260078097018173869297365032066703918152259365455756420880467945151339457281516393887105773298047513033750075978327203496089307146821635719276247646147963778043098765299809750569447891099280389469836744641011994859149742783104356340378011809762243554098733827564522538093631443912243102259726657206978096090014254946718213604510288195341210014839031316837609728555496625346261739082435775162573644977060805595833000753947626146258273064444382482258497907460252556393199960064000000
[4,0] 505773277165343512285698486699934830221817600489229501136800545882811776738693273706271375904189139304864255308852993015791508059211870924059958156903846772385668103910066060639512434487918610425152043902663880449032714190591043349312877248262543293304474249261805836471328980423525436546238517061120956930917757617504499874267057229773521902030036242208687481966384243763439849182453577467426698510571329877762687904311578530440778060723935726130820529321396814570465980920305848291565784498973423215364072017831795915928616429408841800914515823724107662453806842241373841680894115000523923094878456550632514525096754422581336933521869947145590063804826923741137337194013272575204311910874978315551615400423172295437070147336253873967498886157575335826071119087334657059528188517052123840561519389236840857111216222141912071629551759668914943602073898936337469677346232124102886945755609718773440803298633332639645025351203735438961341675130970409963869807950800294128964561292501928971918350733446466220186382426995778901813610510335841708043508812606011838367933708384711934746814266068814192967680000000000
