[0,0] -74807071920935245940888812971934151162354080109597188195389899355469298404224389381371898224624887148233594222141225973619969678329290669765464158597315453571843154687700962573535438074089586596923617155226582010363609688574135246807435148539566357051750269484850223701191196514373173093595442393213736335735067540489312639029496279135214153115693492852361026931085317900022121384130156943497800076616465624009001218935107455199880418548109722996602131542200362642546899507016327722646456756279067779763105502556167259669003355139224314754029213852097356185538272738837545229539538181238435134550324425539295093115055839012657515875759169178321349615298989143281240622333570624482186292664950331646485931302307019971813203480359889657225323644556476064108355740787048697451651421488379710987696035351560364778536278321471204568293322926593441740738172372207677348700325105376206162717544909763672544316092813743596960372365124108375992330359839264945754987225553076012829315207589849052155687769617453084107431623636038280005160410151052084487172555701640456763458511782685896842970173334880256000000000000000000000000000000000000000000
[1,0] 13413487485206285824145848333734331588753116434925288322742478491891799741151444644784585624822215114693504386972648873098484900718531629184529642799833281113302351385470706495530909182293176723161652561711080407196581713726316862261177131337767281255378991372598446336030963756118818867213792106433077729389611075696440586838970646631835895708626300642802491262083505339238198850287968606619370756565662448997692309928320341613960547132230567081924234504116091747105550830002950031861931703692847668123049577763326983597637841705710816578690844474596586793413923330300724484971874460217213428079583433653335823494242033156389222100224033894879335774841541358810632963382786628088769888777972866885776485456592708801644901887480395550347740235076004241207483811241550713534096229613211809484171188014672189354583897276496896701677650807681646200928381482088523507483501825433367815696527797106934357540660173102447819532178394586586684273179266970991959438558582687106428974670430585385818209195592875222694222096238206685685247979840787844470457031868766897031389707823782689378397673488384000000000000000000000000000000000000000000
[1,1] 898641225855150763900148755531260448693845403799789728284863633515126427696343463767280419376245439785861173380525723809397900604506023794037884103692574631334165999729546463740518117685286359305365766751450055215233492127973594228922824594378325057000061033540703383335294679989828081496526123776936168948900699659139789894259326755481980262208023980273598170590090419727300256338509141112581010566656281951942570396474678156030444153913987744060178101377968049004929039697201331484445965057737185561126716301203817195811374290942137892160305761627767168162694266330297083000768090477224226327849152700401953513350396015386012929000789386344359612966195338872892334013345268623398578213402531351499407940196876995636185148004468567986400263000969332745892100455010181364497213003172849908860259015707661274068792651121588211602674731611629381938559820394733719797066929421530685330133946007353790732275079998865304897474624646475749383893486868300055813276885172254604541070194260617350119300587286228089255223554343329387867040043145083490843088105507481457457256143809518673225955356534898688000000000000000000000000000000000000000
[2,0] -4186926620693675232088825825586507548090171365654188217697569518534106880520487042576141170267505427151426779171048997365652510917170094285430261650966735855760872583508564000627889599603786737540365616182916255069896441058494374091032929865145855976700653421076930872940923572009216701591813560480213873825986360000595629921670601602529821091707055363059743642084479683970301872117318171950854096415025718657113230466612660099903603627689394884031199144656539847862529315399194376764797025758949134630263687455308206121584119793903966431064853616124038999346001097846413641537337352328842296923764985349260667296764401885303845930951201178526229297333629383462703626971183508709343859344722848084111083127920071260194161412084191824183301800665513418302468168743593351798342782597867290620949798556328217180396175551667269698458542587883065166382283430090769419809192639303426673879552944102770383695810620522156436458753231635283536192414204168667955817663503494810837966623423441021070571896596866227489133317424139544695053925344959059181506987392695573821166022158719207981112722089574400000000000000000000000000000000000000000
[2,1] 1578696217846578032242654199079902632963668363465301392230281658123893416258148370151478534304831506262912940040435500160243480153049912173975291273242607708557955604463076920932356268965594584014299085600119377178037033569930195732451608382381168754704496361477123965555209843895784240114861445807049104094464962899358472664496334471351662696305223979742933694079128781819556713677854692868434713844046577552415680996287022920227853902478870830762790577073719140488331645292371867977075448211247982038345116037098072426356022560032352381201068599132299024411816012786722817128573185958199897587710168732711951678074750340136328468523689409319925366313621460704543354372211852156200651493786463615814258562341249118799270050061782365134424540958295137860492228761891805351711027868962457163482247634624594803144908114050182000679082732286330814683220876019235507588695195883888608818196734122097045730921449137594838576222694891811950129834012183081681375642852934197194593946469517273137829786420471960498528094317307274024285113417194532267054924105891294138849594231695188538108690825216000000000000000000000000000000000000000000
[2,2] -2681100637823269763966518883838419641007944113973922230219340470652380144880563440809043698919663984736103620943164967933124352227830504777521052716815903415539319620595173523361546380338239658216218277582068760636459251595286708531815302303240830395551704456927357093518986039358352815463368363867982517284288602144895232768339412965074497241343749788927743845696537117095312208583414415557333250160136621387821473690157626652220797886018223965000984055503809778346283284069856310168105604004428554727455883966433350591340557288010109793434952107946846801147604873293575569792727336518967079772257838601207966168141276507958633471552287289588898928349301946097948387105528294594198180856074009485437174278053552706067929893657391621519191064071801990950991095617943126284972204768738800422759281150279192651292676301219012348849781925874519451624031194601505209854477611347771812837112459977413873597900918245458000877581110816894471852261464972159100902711463411341231442196934103069489753651418060969635751735180186277446583588577305121377749259198380612404236000626440208494314555682727133184000000000000000000000000000000000000
[3,0] 335037671021121089052616762170001037741419354166047568804462649717751617875317221929168498967145813367071316609597411115540465728758694472401169996153731574737496873374528408581279074038810038262995413303046722155191811109436930866439981731168898374584318612727502007238991223207069825260831531718547014136687450891881799617596142719720177675637485781017143816237376040085240649161362566268180259799268582144332484554184283431741625715842896682578554384635442124082224015391947342610200399397187534320229641558605355421075253088057376211465738392037887567411100973744291996372232073277686029058040170434062118179791367829165884555183429695658297920986455365847124669250971269211624265328315763521470863898270047254261007043909405129015469273635208372737966529792524863808203650145285245527892112615356282598509798080876115233415450818939240355243873395022508847060777514501274967867561657366163543102976685942940718795835677491048401111027246878898964208552031399998086230231313857147148133114157971393654055337479242236155266174964738216262869258931588611846971729446344901573721477192089600000000000000000000000000000000000000000
[3,1] -15257631231386891014574233913379169797103612449277325440771918786031020907164631839965772043435921653998489011502363864272149428972986456138451961727304560188179104907359543102456328257627766702462224666401221200193851489389301387091701554344751955321569147085106745081395715243717989009369023571266287235726974570419352040076428298604372105870433080592525453655889734223261516978396115549157482452563645412083292979118412161628384675791331139481821908263919903989037160774479421744748648443833555607320938894238725944829509512272982242441843825413686732383396901218367390071204650030031078463539316888627373604614526658078692550301429083015956900515336021116340780208287078068328080017485407946889185142294520735075494760991895791454725019161856054759867452554983636068692916957482159609141271739168460529217431668264381063109872366019230487142593842628277033018460230081119988435293221265265380752711991811813048815693357995780086977865570052901361788767112577906180314211416925898647888898747978448557920045707567533756742296234107605422855800092878280030715281979933112559053653138839961600000000000000000000000000000000000000
[3,2] -11673829530125816894004664867821644472597790462610071316354945043565045325370264894375355036040099066129826364714589924779722973130686272266239941405812690838825738182196617271532904801609912710123870674915202600076587695524551076613336188018285603851220017310609760103009633691381906521248338681348646053797591361017757063596046093413760490201179587337502915835115193110805742537516137576378009088474272664245947095195136837498729275169585029939010192987541449060020006512245538791523312320158075993158002741544259118529511697733714887427182602819999160150961772085854478491856280324782287630798127063128744745584588270142447444723374212197481018564335453130042651318033656605864372754535283876996905269928065243713299509976464173197263959827715806996506927675711906922336228881203605759765760444825170713175284375943126966888129936784730178433091709653519855507313503488049373301547818752473923931802359930734042793553419785914971912795442627963301382906465572263290043474098171183886727177155625602510854557138313947254422964851114359249485975414618998731211172720379783820686733990606929920000000000000000000000000000000000000
[3,3] 1536496971206687073756292596859656115731052419052123927274143845623599306752936198832363450179199367710160274366513988868705314768144647950166101521780739678494233128150802787928415568360706643714427511072006123873086467697239708806176383923491750906716536300588848399542154383971547397756514798242427504161522354179822819237739960522217465490581902760707129533631389605615641709042652430142090976615400824395791137503095628636851401409097004823344869575668551401627297854746250852953427546053722598135033048784163842768763082334404608454470468011383109484435680674873124696224674047482913006284864742762077041560439794673283417679395125739312991682849133928289452078888208684436789627574322732731639865459768369845130977285271884764563238405307957403743878521951146888639978985596879652042254088106971940563080982367189109313450631362359806417872630632922976703035479156258631047771256750583048906158890787216627176169563373975944120736843537568606933278197883774277554619014120737583305325180010220235176056286776296275246881663830516131774321887187474811766461319510422534473957649321853714432000000000000000000000000000000000
[4,0] 731696698182641765864226022975850320575745975043816173998282334184709094859582997288130790225455976047452379932786264122457232973894524850107187245152766021605369023724025725100697354448462404628576019759176742056387294099769088934024917118671534005096210719899065038284077625029268377421069281322694910901550741279313331352263646803846289725755428845878661404500636421746025169604402699897412425540489614497613734970514632097733838174285872233261517582319842761481607641739211705598107652061292285525276832746542206553013416801453677048810027157269076527782350809374983552269627609820564505532422404893940673255069303544169920574045020541204749717016619205611111061353007220445430317681850904163254504723096296825869302680138221253765529456622602638536175994795684959501712382305414584227283349800204307989592476244604542082651940771177321909994620283038007562547570270124935109669020694702270616742243456458156171682643100392739438216972921028310817500206902102666212407829768874413648928430393447798351778288108483556778736112324069958929217827462880821523739128206874927653735849000960000000000000000000000000000000000000000
