[4,1] 14565806356706485072405275130311824865291051886046732227640259877053127832879337780607901342164773720841323138348096145276561564569969357186325136657313145412008350309314694855678404381863382373848020612761324733216435706589185744013113813998035633535683919150902041267510968882436380963335926118980018588666283550474534107280235629385728113533718935253088346445506395778021334402845196424596730768711810206839539383852761834547763044681415909227586689963214320241116383433000310952799608886298636398724830732216373661605577175605585340531862051100495975910953341852520856608214929491750135024176989773022331414481585275079208032574565078856655494174355139890009272197845384263882202846204581113779827278348552767588703908931976942681488537201913763983356245582097503267859082534843841844854530418997182434443819087498182212408781041076872999347664214419448120026859979254759686122996461780069999841303134416068616881813698195601025631804602950234020563193691134035408916059271187566537023589623896517759871205299759822082705795764923095703125000000000000000000000000000000000000000000
[4,2] -1229089386901901698698752327008147811628195236723821205141509758491908388923624919813079701020153768255473819518389637629287552396668902336916053447662385519983268704385259321003591328808358992230581637158202973728473558187111290375536404326246850926364549670652806772863799186883696401467774232440728677998173713873687241489550536190135065422551443623171959698139565258172727484442220687453162026689718481890768262763757914114958063075089661605189323542883306227930846272708178340109269972610489952868479970601511904298518256622257003512351431601043347836065802285803270990025902694880014512840160453955663112126668223340601149664458643389149963933673859360612598823219044235385224947966170828798753245890476071095780376119685097991746631410898505646040991619220951020103666974735681150966857055485880041727733316895961679285386765954120627742940021361807665310618380716501882132768279786371688297648000866463387560042748384990878567860850817753548806800687745858535312157884439166154663141863883812270139689326597931540163699537515640258789062500000000000000000000000000000000000000
[4,3] 42649532809057299652183314192528305099255121973844250741818990198825099500938275099871476783161560616508534746324661964483803511260183226500561566003540076001975789108136440603872522592677540593966465681456901066839127842925709548670138042815649892052171955262191450088524965543441442647731286013530730503615567766679755738606362573284169893422383085374585729480345165979176372675870815499935469799130713910817132613552606542939853195359250850454480705164748704911538720246548015916690036883786447150419867602697928534872874657873079704926105161408369182910268110379269599137829690067848313409948900363329341924013718347858563835272748257262437909062949286362856185610135682059649042487630082454561108606089259440244654614264960959240131915628122844185121340927028907179635143040884082626229431243987704355160836527528300110857115951832686185288488028625222122260981663403993158602451889575574908879649791919039060643070983466788546254696337119277476795007587141222207126069932402851714172497009999881437819491125651438778731971979141235351562500000000000000000000000000000000000000
[4,4] -449615481239227565743892793361069435201253236821195689028870625637975431946613547224222236536881179293429231485723117412496707788838941308567696633965666544702603246850990508330446643286807452177279678706407027983016666510802045079719747639059380117059284752696447226527547765139276319845486990903142933383266999885429844686834135118412153377170685888883424452413660846409731094339279208119488933022233813569816541533431289108127260237099669294530611699082273414879901921417111835227638432157168326140531269460043768970054697233300898583843851647146250259313696722201753540233260966921275499133688959151712726338400176423118028122581199778135414576213635237465419719039901103069877895041462715381396505932698785465340882912027238026567871968715840851380955492812938134750918454091639322960540490561177005868657726616937500668982277451331402193966729947562317080633703234549987012609117317571334724994725673949965412771774541259457748894009322076241536514882015336183970945008761674141027329566311404024218402464274646490594022907316684722900390625000000000000000000000000000000000
[5,0] 32607330332550168637558419151742307145817788258036989842591238018547260704194783390420328802955005956996826744014964035571995621067846910568359082543583370757613601570994052608108341300609989607212196494725743910143233625864803968652418191442883473367557600280060997582261445888968612232965953825006316307628279079687833614100076470370655754976545134498563513477212012594841128057242144276492203055266724268369302307919236033628743198162395426663276120358133993889162357619416764464498533471762796732440542225534622231553024605919850777844469592001411326140301417448287085585561314616603873759645388887812604377592753010852715984948755810006559763368857290896247472581777826962292240681163154221643011768610049867162003211495626605590482931976342789382837148132090671068909140649761607292640274194661476113968756136612456293971344843214476098300704518760724552702879735377886461327043002439674515365403275204393911784897850247588296354508840111356992133420016426284134442029430292730703480619247613958577858284115791320800781250000000000000000000000000000000000000000000000000000000
[5,1] -21842932318799767596601152353413635860889258674523599301206429885643074829814371018174017746282897510709113485826442202228458774854108482876122961653271005166138740359892810988037768559513481163309683993427194940536664675053116935149263510892732284738619042356538021738202502015750937155689432552534510970257481981880949327000429306436964638527646739129260474753600424674964844015034191943289022099570662319537534720981250962706842570967997140693901996190939712368297726870571906286256099463641311155266961306630110552713277036090204901672451676457799925196833301053871129688962134760494546547690660811613683434295456938092895926475972665831296511550784363012726676386642481197173296708024413155508149999466517105548698288283847936694527286001208465776548224428313398053279793721431508134719923993597737020946703202143624776477522687341489823506037200457837203970230759392425340641107176256937064652322357101917445497334039954372710641056640339404250462319176838124200340810925936786256031996774490400170520842948462814092636108398437500000000000000000000000000000000000000000000000
[5,2] 1397934054467238317171973982133960898451963696460262069525575366369810238174939736319803089662813559429744999412630311107470702068208008090952941275351089594658748451557882589751820036422167626609145778854305912762159539785589806155493207575779630037530837565973595221685948350631110315369657850306915226367889667837676635697511139625599709144662426013183949383082070824535187675232046222067687689607305342540788372275168654486494820918625443998775637831440489679515474163210604812146383828056848810509528153439153360515209055441884120303647338435105171622034862429499387874269706933930047165923871594707925236275759346633792664619618572038529993235177233869470520883134194412547900826711808419179176838240169641040929434081300994014841822498150289644808082412585865680794155685099739249781662916878426012153631709700432152029522522470003197877188773940258688329757588700050514895413513476251029771288800652106146523124742426625781438998945662425699810539795294906024218223781465962772106276270343318268718491026447736658155918121337890625000000000000000000000000000000000000000000
[5,3] -73321181596546655464485168258897799399604440133086127116104108999331102807270631238742164787209289977214435976497972371197651450827268078865627455956815443204426524754278819064225823900029115566463884414604368910065623203576004742082931026865106328845255573459591434471539016336292779098866275622055379509254241377218334023776416391797582518576167139270285065075501466224429503550256093696711376810530550558717454679271898809000464076888476547359264187523624245063252042393600070645181944153106236918787999368715141931608387616045509433088985043408668805384430449303939575558154082009328387053890404533014156792008296304474673495366335530847022069019873907040462976937385310495125353457210692321289396059156194162347345986373982637635821873582484223203089768427519705732326033792366332656039356207591531134575274817719324924530891013139332193887258356999776390281056154191805537394107861619162249526553402030215513519824285526761399462759565342869610335554479046461258784296782612892560323852855969951891612623740002163685858249664306640625000000000000000000000000000000000000000
[5,4] 1524231288739091183509073982557684379620419726853250235091184550435677139473797705794763611284486456095857558240565372492211884810896630115913943716240247640284198372804360366031300716381747696227357522326561713875275438142651081030887830477259787287732943035231566738247732700543526267128357450883167749348609275563873498036383037933505197762791350264458844291670685617709316092906417749020887547322989112454221064918268120853954551634667251294451482905982295384179407663562509224859045422498533544931374390518352688853746858087734013709202549567599226900752166862167207327968054866531559307524647228835166386735526482557004404307771400360784562511999460549728420712911607109385896440794495694193040903810999054599926211811502611892840420510153052649761661682018068207946086083780540334719800973011538127532114216961581560746562441128836259700756692291430884295518645340816047716064552023908020459200805278793471057825578498497033146359769890441262337182995936072528830702034977685205602343408463683139056343840422869106987491250038146972656250000000000000000000000000000000000
[5,5] -10516182519174608176477213363307617671578220506309041289545418079635613978935338303630676366709168115835297299052608360226415862922905680403180965805114875408933287209236469358819119758658524751453180267177307645033986860518661760601490192889553175834501069545641349340216190604068582112688399851564442665079085851555084264592382307004781825380054466774070751072918768677698219853542294487194056538367698226352913144547537731243423494578791014532930377301105260279867521024100966736812600583936268583778541352462405492419447312357734199847527473835177623686032288832142999120251090627523554512063019774625639966427448843014767505741359933625552243301464445467504879402774843641251520532972294713031777097570809069782465908555639727126576806816987743646749067870822851627372833742317458353746370045158625402021333241730906123569386128466479057608418059064576690726541707161306265036678927130165151445383203994136916261408260839258251484286014717663255468523347045225103047766038741582038039961989042345158473779065388953313231468200683593750000000000000000000000000000000000000
