[0,0] 10546709154894536081588855223232167036809169824075835142242487137702378917698885469356888112313482497200021533704102440672650302897452263750134051074003016187453007999885031579107750347788036035845875421816614588363238261555318639083299461898508236147374815291770871050092550388976967011319546260188808367155227877753216074489611520892219346824695262593622700021162808971184661723604282992054974815539409840601645844631982025103405297157044351594251174661574574491190062027750972338226628768458388364441125903455029084918457566013513647608155894413959976251996791453670417623462038154238546593670141073143529776422344258573812417518014105898849263489886778616857106047492415018048943278577421364197742177137507098859968669498642546333643744534516831462541447549597188909598311886061746969619496446725734820409568002389459509203962343854067955155016957534016631491225424482212899695536094232095795428336781569032269516614814696742451381456657773604963624642558423178769121580357344844214953285265699359772063881113268735134624876081943511962890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] 233894819781461792857091837571229534808723011392787122701550749169465489774070943393980628552462089278268748600524162346760396259348460105733550403996872120944719554588570883495773675014090130972028679063712231445451187538553752770460773114725922394167114249228873462153199414254762160423250458381279904185880775085832794828098339866893588894776172588041467440087507242054632093924651142877998473810356395700811558494523344241644950802015142915723476482215349474104816009181926003754487957004022491138951130019902649170202234475330344581872950482086646388719888925590571111467717878043493052749071957739621772384039967674796882317156779255624220330057567788689783903024613341768098694189602295998463741625193616229732804204111885565746177359120714574136488320122041047701978429822374367938916679805209193795099415439661894193731343421890659458520952677583277017916622325026964309689934801781840425097577100826472326666066803660734609700036418554209974456326440278759432562023033693187967212455185758712694621408445527777075767517089843750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] -70912819864298495710982317967798346317625492635149731949413327926572121786574660079897268149752461810062165687655120209565087394265262691051539831711251891455328936273966447226786402106117799528981232938005590788184740466723526949026004626242493432512587997812875428673144829045564190365048402994817936932730646240705128182319244630015089658140639008154631501420448750864749635266263282398565200735431259860937648261932786927470770962881527347064166430399507741748654756614189455488517120883435261399702909236836731818509915871569423496653622868655880444910957348509512102751585603827491885719785722311538239666047123122035348349457509075292001320988924103357198838763780908010654621562074946190102146056815302544530298394209145766056814546328649795173924933131218462405837720486536190726130940344842248117427529827549797889871143480370917065597941569553688029387958982006731770783817134341475331741893323023162358002600887973885636430224729140129009629214787425110351338731964460105084627618389997796583684719351481362537015229463577270507812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 3759128918770872797359996325040373289393873125869905622798743210239812342440110389817272558627616941327419433957538716341827558178607134365744069929192018147381784029323742658824956489223311284933868373935570371072296258800893380824514984368650525773805400816694333246950522233488260861993716860115577278863709781945555155360838305815908084094582587800205553824004232310403073850438641546547716898929831725173392399989928487059849626494937973923237622906483448380956268818586466333032189039938922298056774721447348462096551573858112553624053452747917622910793869635615988139979867076353051572982801924966568569151730061799442956929184203731158445777023492796234524706218873162699198126991102714311308468766244293562166810430861817681173075529783486211291366838375482532587423517363824433275455795102666314158588866015086239325482417518079196014002728945672937712756941165678086743934745793673065657922388365255063559937236437515947396164765327417079295377439823629947139438464872379462317134363636035587763473131417413242161273956298828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] -770632827041116795118026962914358166740230161809736873579897376487724027081007429295961173043072684693794761650630408580116908521653704693449045887759430419913681162917570034735111783514400648825867308318889241834033378431393573152350309546164527677666198653532981953891343275463439040952897988422314201660967689164000409058952308175276228781896034509641254589734763971390993358213158691928385181794569131225654819486920889506809437974134020292899711973208413109170488113821185727994886347383350853357590912567538529282116389572289944608877415076199933649528965407121112920006494160142473485760153168084209910949244347553215853436081262639862203158883921665837722307008076834894462598052020778928502561216769281293484905529362733291870120998247715706354966374216662075840124323919499845062960819947674175234247959395897938694810900031183115812557506724603832375720510206291901531671565904974104717422989825092099438928411861934092157218252505309530156408719724715424903584241164538507698365563514821240933758139668441344838356599211692810058593750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 118545489634703726566771943264936659873557906228779300441394128450701218227043877318084774214890279125971398157818870668559756928467068681650483217374051108245456206210697800851495539580170648206232962126830706404727890316575063891883552036929622050292786511433544621618632286459740042506523786751294751195258549626713753039364233530838796567851347455791781652561257426404224962227714014131604130200147475522326097139219019266243076619065535906388736044778318999693342725910295709301558502266463362133018168722138739496225659244143754168603525073933619299007206210832217339150995105477078718454753581788442604439256175181688488285492925993624756630064083935845151231556734799593965216602155136107206091663200540470330802981609585156660517696474204260961054718995784141211373797151422099398126253614420605062586928616377317383873457472584722999542823206933934374786247342066274115934864938580664986045102786818274007795720130095575783294009320865494408240857266867082835847730551784623020766697230004086866558647705982565412341500632464885711669921875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] 48170802539257877061711194201906484702605189302431526589502994821606448963966843086750807814008549783307891941645844097728544389413680712019131064891679996966947832448115771140311581066765557102521283710482885410567249483057083989481943291918221837025247221364641217939046271144141514630862385635548369792512736605402318273744327542655350446204981691715396156590775980290161809728603913631831895758131016695952450320121333694817085653690734999581964406439161054099805744045303633147038821658083433557341418114590147637659955441483791549382242842183628535389355706004819722033727803002296654971016860102382185392069000200468244384334956111479027146262453912796303029391718001105929589202583898622029528714038134611341743544905207087413890368122568843093540817787978914179701232952764535720490242045284390558932274393471313391311788890804088356908786443540105777617598179359560252153914503880813124617886047756173427106243313885915145659289385939727692082499514050104739214090433215002270997499031826571957992655370617285370826721191406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] 4688893842256921309987210226969971403574629866606307449657976404047980239681441398148643435258583465211782998959820941490300338060428069257475520872478612884236225888978457421251613173567251064083621603308566815568586486134607326142923295470853791803324536050849564490452469024706895433532970869534929188603100856440994575533243674307507354767225851164456681924344078701699318722992517880427296860265641802354642300530663095133664189966728658491112180056773489996242846470683028903316773320038468159722138693233940164007737439316618204755064982488921552595910391778872484734783516617115864705831634362733138022478675975259535962013841924696133573872038960133664752999909654577762792986701977541275434037695536795131774034755840304474187977696838662126543732561006604128335423514259465149107171497951089695618932877884925157217635154694928340416719010699828974444169777967823234657487584135287973826391277334818876794140184935482177047250522616644300959828501873228002572066107762560538065711600662192632543723291860260360408574342727661132812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -505244240899937591500708711730114822976199104681036146424317836236515928771239676298215969619000641968413287873259963271773813485889134875342379460201785816696153459545066473629442640822393388821641389342925556076689720034019522741086858959409391123907934936044225686116890298836122695752731763816836934156352784345250013152734324545339299999562560844685743345878597540439598727699513269908747272620957814594056894647999222518745541388838720795209350930683182103380425317709387552119108954850872629480527028356132292416184877506061657273326097343620318311291405087482113488767768960099890712658107736623841988171304953705886732110699128891702843510339507679502353127452034425448192830557390683566470227471946674816750834499788147134917234947595052562963957546994706059912498792476020982550583011922942489852510428901446350498350750067898078394384854925414104587234663135779529040050149638087709299614026457586222505360354948576468143100106954997979129460020585031316934135150824093942122415202372760949039130762283633657716563902795314788818359375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] -11740327533359607620364228058480562530186206591183905738147727776474038666653210631529726273252773136435244053238029335718625508616617234830867705734609418850165405135658376346582440658601707664508386952870654111939397919863922947559443187842480655087343686369993808614173003058115874464651115585977893285652512030818440806560600161986465017174858787327088649270946925803814344676718443858754575962491808406427755922205682316469383592370440227536967582125799804898424674767416812618717938113005674767338493136874097719154950416798276760679450115880867305304206057734222302304508198149106273822619784264923175153267021717395551003842749695358153276640050361600907913013345865859467353872360620263733491085765141030715744428056977379207961051980196938746802449087404916932858309794106463696246882650676177329734995150347213688491580552360008518016238201043945334098114608291620723180881668491910205408392625143893661981878782569541733173084629843341814466049133139368810234766601155717415715636990679196930754436822841313414755859412252902984619140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 367874751846795978226164317800650068106571831807772053596945478256854520275034575987820978360121403810115952065473720272999694898477595225079491712112763810474508252650759773635050566846220814370019403128848911886300177566582738471179463909050190446040430056359461736728838796876749928134365632753819665226826245563244787968245653095206897721120779772072856816459617289389811361342132281736171760908836790502717121514187488715950016132885621693276659862826252711176980183264561960024542510372072651221987982434961819581356815552529563966583704678849770296717469836100469986791228670172674262769994212736918963389674907552291449786414211201824980208331445909573821219298639824834724939668644622767325329699057549154825854622123303187670503605856050372494066281348898962044081427908903646786725163768135161257939899493856684145177539793495510129852059959087876946267534670754973775758172217958629486299165173501368734585245354818411679756049951018244853363882732709654040439831687049510356952757223533007069349309858807828277349472045898437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
