[0,0] 1494330312918973895412765469634566520351493096258769406510878498315019236892950044486578281331638030400761541127059847073814164669290766229383671625942885912614237309475538674330525382933919795784721838036153762251156778683261158307197444094420307294985771845988391897939537272633266382752221345130929747416891155527570883550471416017298767949662241030757954086403166701991574740455742512369401274498661254780208057282359087402983568773554785027616893932542807173787774795415837179231307858241037058895258419318225126285278625913843309527838015040875676366978320755158210989878236303965182562185948716250725628100401052631021682645070798657306006785901398973666695040624244987519217714500871832691152687139699750468797829005999767201196239945495522459550246879009605186813617293750805023660972815789195015215632877979672315937191682394514724751410842856457872748058090800943898941507660790579928187413350388597957036957297152204563069275042308809291995152952636159043480365804568580521899771273750983646751300230636366596241983505840579437976723821447118591040562397184000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -109463346319084872958205317909891679326174889898721062256660309134252690874885189024880349356585786158849032729148049335005809895165391796205996649617741195843474808793112392528075984987255012472689825803032326677828961654195548818948574156271600988829361790694311047818907386652746925040923572217705752916295144471511431110220020880391492637586058557104521617756208142763281132929813543511677226674505317951178149454370548081998210123448727432478062275606249570004096843268189181706948959803024412282732779475938535048324425990754208766125711398185084496859689404007937670825117616931549899707678148284855461944195635117174627319365256576910144220583419237521951056561481847533952199383555969978990746521248167997046604655712002357087885494732016818588412766512342794350154704899970634383751123748759399431949506665593702393248083237882929463794058365784671242524438588563575659312072093832078860660200090250509900427134482248614158142713664206312420737627549992849522835992808537971895658534303419288840344550723746320581911268398130815438730334459905195990876694773760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] -6352401700510468941642832123716459215180034635959227009021520595298614138310622744645304934926907688084160808498325493202397303716493101951982206099567434370431274802072449353492110984930957037819587939681573871856466699898945164826321855349336785138260616849501720071788702722372277896602066525831760600336966080469091607173474609810070171512635716043278547775212890976485580417469997916882066127892170580004993297370376860965655450868014092856106830296652281922017970084988182322876386009033117182578412555582090039040158029980714427743349141543431844122979332515638106567844838504515064111633723392477847109861193371364290509688160329182555160265840167468552316263542761366457344493077162770794974524308931366390941388208125991254748167393360825028683222063135851878833570877214497444361436158351591160669480332803152451124365110631431277613442769648594665793215688536645598118233478843531954191098913020855764316489915443216599133386535777724343842606752348456168699495488665349602249683676330128702625484968387945585979280779981334148365452182098166039478114881372160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 3892588345458562375469795752017092975077136126386800440963055549827435283708248011722060448434262853495843001357513128177642390605898926567343377633610492385358105901113599228921772037727252273665638320270930231721964458147781566710931492704024970412825592042800390246095419463692732260092781702389182275620069425678915552267515469875650096610380894699018603956125421025339138498714963796821016079722628607755382974664009567631529141612032150770812709178280870978272925147761725284381958950299239004501387640181694802434212534321205383094665330934142352185919780959184825571436477568709804048142988943282762468116128172535805408922111037818393074921442643329389901161299295543400611260018329396435228828545321820663962006395306243697724320298864020996139514715020710968898900980034575652650133618316467300638209691306571168337636851680514055398194152039608913992031133312005245070723848569983329262571363887354044561370304335043795538005686939279383390726740769130539854375304535506721119156559212868669603815964064765052583323803515522507041925569058015133215683673849856000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 390836698203748406161373393127849913449149226777354656614445167391588503059829239727342965812611417230977154370787724000449924476971001453694033056146866627326912813875895636878048290955269106542512689644992344238446626264701704437941937323301941887200185351058277521024494247673794173089166713625193996884646740090457005708878071718433175592924660910267411803151440366734950917477653746326625858379218200589911296045048031075781734871288701942360216610397471727921225220263979026113449733183242513117948868939613552003282203553858305070066014404811728988893547342614182024368348623680417555164894115511957413270404781670973509656517690146752592626942106136156310997231204769375518844412168550156224596794724726103818347505347405381668076731049806902799623624267323117356849601130523901692369879824550054467515702719132659359992416083521353945276158659339280140848532843463794951492839711321507136287136836924029320692917912605014090011126217025757278828604863749782836416816993390787791606352695092855257717349202794408259600597314462895318912930707291477893565328549478400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 5433421318566430607212413421446649073914589699979266151520843604571768099552254593311438214085043670819458159566300731181029117872805475098482993883554210684985867837176202133006358059855033609718448331356339306535947059621232957025797681973801746196206535383984733251078530324080546222368079406128422632496511137292734386644298398859764304821541618325943657503381369700835178826184680847472386675750335623519514513360402707080581454246116028852393226301504242108846814288233906046662506383089499150071768928807666767583526472439491189720556902385314334905825772397008304845638033528452948701617492199139016483624478433863444017294364873981062344941207268766583780699328295266914613106049944299377689102098774174072012837814722297481796347452433581927249563036780279150655118108535939020778182715659421532877257863631985264840445011323116502561985630308242139570969273043202616562640596492474589020973573977848792684224513244814723774889776475543863177054691518908255888340541674772146458842823425735497433758647110351162008853044003947090171581026083650968949592786902974464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -85955412496230802058177038606850227926510036358258164341212733470833625685360483933328440263412387930751977428622181127191633813947565151316114306465572846682694583216867562938549329457180587203770632619852882511166605513928466655510693213552550044647973315571231097033156001616896127805174099811323903568277279478950872630269595199837073557755993163013388823739769915714633679784072773333902674435399512616464159973643427083703284384336373376477368814535598493955790580703097622716752376071784749313266967629036740077974279619570378575911687510405395967216545255279734947517476895587972895158374035887510645264444119600414915595077232873394278029987049727703920391354086211677179705772911538321387597264084151496502409123398069065642180401619511758022959753107707413241600344054668276006949753339242907295177818848449303471532585629821801784947473202715120046388434119924755375628223281413882262768376278871865507597780013441753693965851977652603619072720702537249889228968400949555216238211327732122665104226070089753927112914422772830522518803304961430840342407880376320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -5125422406179603706793508809735823556649407777317104520387547796413228525571603688314147815050778492762721164506266579529232966974484093731531613323233825270798641071803399313427058133268262852309118528017986875487436863530817902559565380422516407002151287687165041812567277537431168423006332270274643797997645636051885497602145680930765648976389242865701013574113724539840053765712293356408287880660102979152612414629149618412439744429057690240555119527238597779342161762624495604471312515562830017779509840720865639722523502974926393158504633941439352136012518793911088835854529838191435374222669916511601477325824647390850022589663145394963267313382627235096441716715431643439005545495737458237783662498941250269140766532472214036718728323131251725589050252993407279953081107074746283475971023292504206859102048427737369074417367015515726402845852230547313022281705931613765437576356770061372659659288688666240956794441878790709427055415839615856236849686531282467929224630920375811895785577622555687975559803470037129355914934759252680109078227872934242325074675383664640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -134639191983653420685503084277205502272494343835742231909929047468028395023542541685086912096597352528175109632523249604328148561012591437027532759391532490497393937990663618553137871544650566241529725390803472515218463971291348660166036244565868997982531178985376745100333142461815923876960945549885150946988308883446396071656766128602044615830450421120151544266794513540631572993090067164349045832050405251690956499753175636363195303706419984244475553992327087409310465290892546846090252528305445290444042779991354101598043905545086062735722903779181719120443670901397207811784285272574488011818029094665805784110709768599441997615456696758364895447485030867953269522425243777994399456818759542078777693396750283750514274712704756533768720918989577892292638408392625060905451746741872311184733200950592108429952779411300104169651391527960127295560733093724383631720098611980650097886816235543153975276792232305141384150003402386316933785537580883047452337158914262914679368948667399203486997919817659492647897720598180883620145109997049922896413264737460153506479173334466560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 111711713067518684619685323647289744678366146490424316770441631336691572942424119150165478008424323392376785201950856886812712849698650740449673707038805658432109171395921318954947520512302132078543012164457132024993972555164752723217953094885904401926078495462877984529714997535943125723998277920722197276983901170717584016913140348520374494160200922757348740343710492663102818403249430704348461440847289235998776202647568648688746792470689695131585156833843634750155075461917784333411170321888691597646284461994915524450063395011486795316920180648981986696950236618433829409521902333915480375676062575899300853890951246673095285333267245033264848830446235271170312788129016210671294298157954732500474565797898598237925081550911083220510739761335435004579038970850326409707752540970543277671549541790692395276094828309451740917801757567428840131871579299460603303493826179951801060112543097871702121692957277736546209309413732960353159090254793053614408213820330274877350933168740982466063624070328738912142382242467677888863980615665212584025088063102650160155253949018931200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 1293106767415623711254441052383841238818918197042602904988089428881355130373415230892760299767940128586345649254206730046633959482015884249113335320104883093080385244808054487033873311612913713250840502025302641882047759694789504167484332790711899837902646403782948288366454562544165643172629873553764100529478769659333521266846435036129084226830676065631508977136433147417965796454187228427806828144205691322260547131945698732813454133979145312578519558333124298936817333029460395068498781553063426063288836517832262671559232247399863898233461635641605693378698641218191974497280781865439720325298579094832245115020019360556385464558169002447463735933346994781704801724371732406050878921084155498252467958094541085370894695764862805871512300066617128381615121718561810030793732691339873096979532089721835285056994611571882186746519282783334244715983280852622868362869210685344182052228889650222338777819641237085369703151309451370914328585833511447728496625461985566905088534111112606638269549848189546230690118183199260680758371579222209787948294630533578333486721009713152000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
