[0,0] 3323460996317870223567002565922996742100281059770908043907841810903303926962988140130532278131261837089719714004992691739277930570722599081711602664407110319746795407048784628745921103824063428429663156967772909154212591733811359372567582216167206805948366404755779687115851049885276482219095750942116473165841396968617729861355157152118878818649112324493725620981455557905410678627430040968999522533962327825023486856569269796004556040826525935257484243683786027545028055231404636015079005510540035643023464163388599445786920475174976404879763890708376332202403066391493980617053580426430746736146892564854387261277492699907345412551737869655107657324431133392526009210508896112265574620980861155893294921770004409466466499100484602954557070368988867821803631582618371057344006668235769093980871010096466072844544182833807841045241672676741268398021696374440460674445069673200906183369761034210596579998810442691237639235241894107056298030011755515731384629046510350566196942437413667836267105550054864791667749321371225975417078538000858429483986752647499614065532937369473061840281499862452976712489555485608394384377074376218985211436458703296537590184139811619584622360194751859488311962639672702601101590591766657786931136549751309611331297395354911206055703587480820715427398681640625000000000000
[1,0] -85276558074015597269062848507756638558337076047326532958600927050868631420995734831307336419869755381037830371403831226326368323511626725006543444183677375647895374669128615310468125026583504404274862079705892898989971638704674237433654138638273576378393540562996608478972340387912167832193682716846472399606351833375232324257578058987478648892262398765045057633757879428317526913804025762818455230695214873543932241388726648946060588937611909965688041072439208952442347386967284466021431013217420201960245050039156150187974679775999476529869835247347026935642667908923325110961801676474365257589514723036745326505771249011638086111952884515535940780907241631735934322019954781255202619319257025019921108057609357106173737089004515472655311510141288018725253156781445261443841307576653766816577756034418666270849322989657460395144886518188807588750204245373633078652716300003283275716904240951781460131765241448267247955179456062647577823161280189750071484672319866194395129721345234129183482692836321144322035027452901738718690046785620528476782865306394253580699550177239135074813695832588492527007445409184060376814235417383084765280701677277906310818280339874685052074119974752253976461242704698745250624931018959100035487685053867124018722734035691246390342712402343750000000000000000000000000000
[1,1] -22952070950666978143818270065117532909131680335777470417261636586634383011736163994570232347586204355748211559882583624386289793287255389146481930364254414710063958923417712797292714058976934233938594283893824797694111859441032239791255171260571830953948168397576735258073803743876982789788527347907449693183284915319967333816472500307359480424235193827858317827019157362713509462845682700514730532657510461717433602301766141429860134049261060082785559599654572234842969790299601796357221147539130360163359686556184017828861989264413075012671400681000240334834406528275936829197495562661799308214929081980817237619368740135030298494068891227898839258095298883791172127540204530114787716529242337062328838241948307336530957303879483873268967814185029084077150208411655478091154361923333458753560139694314059563852495556119767120481365155709137386973449340435048843327506169380563167957920634736221629896883444932572828628102048732023863055817719015871305932012733754575007475642369376336157589090761055937792763384525917238489691428005797840462420080079187630874849489272395185363070971816388387671635927776309085854899621688556716287490879765961154470120554753577556301500838922370073703606648129095470067479047694294274727312463352109871399936436020539076707791537046432495117187500000000000000000000
[2,0] 2232318843836947582317795872458638535106803161913341557981654339306265215214086511034091194962268355037891399522338681170338688742776302730002794696603563631325118134672423833625373954702511828738135251474216427912860160611534824236607469445367676517223446105608839079460822331400022923978340020415786243429973955936890689120783748189342992397147507193784780403497077377272365141040505450519141480284731441776417492581810778996946464809819490455896383674342135935865083677918050431362398399376082051262072124972475969092429278862329195270105319137203314990808507615032649616785763120971302720127083642558234108715488589428756159761371808612465341423379415262408990890435981028926512819915416189365649026759409926229553042802804489551209834237839334335786335189040605745194483633157716023522634327728257845651243950005169931450616719893617764084342293662426341516890499317912956800589937519305991453362272221085922577675295772047062577217640130748491957138079350046648058084791249743517894691138377322195010374285296567591402033516518098684278752416234901440220269719800869866961047403921155309297572566361285914799302473786666176120778808873080950248293555085151989161311281764816133276772678276099103778895526464206312667762128573614548165959803327496047131717205047607421875000000000000000000000000
[2,1] 412948211875753709819913923349213290289029844687862916185394868547766655073824570590356184335346764467503866385415464025787712424626759656416516563732039300425443957384641717788856909274962910415581692529949687006578341830645020616780690961953826316116249811804085663885401513472812359951587950324591344421309290040068425705742606149821716370250002195011188338213572584570330165964077955481616517992892510912838805637609508384679405516449247062421031433167673159103322952591145334664503010909569604947289977272036781852896601474184984353895872571602107593015234514039762310530471034992427726341212478993722669349943230523606409298707887904531851376037066494935471913178342461680999049222202273115616544492611453023893055654065613104947192603645995581552147664540155616693634109414204851661389589301422204341828719273544117406172274838550886895722084629474507597810296446578443996975262192560091302060607615976779717944303608347371814964057728188841128300579148748638185855625943115254028775490220310631149239435098007618742392631120034913811652842322786168082204381020392287747275010326738565596485574231095788543853329322259163636480267961242069428930669187703197597901074822780760335011970675557071435790938566601483573735519111029922118124776964087629949062829837203025817871093750000000000000000
[2,2] 15616555320638188532848732537989873159194463423264312456884256012373338434984184933960920487448378761694882596875775024618923681439559959650148276603081407766375494509066782222005160140355324122406507989762604904706515124104336932067350745903834227261159132301183900280541751227596854563814393096615159571354334761348998575310594960390804576423533919519702068303910585771313669101017470116274868264067856964015018579894697896317286120001240762610920448688298377699790974158855444276937507261896182367646027177008805441006077714108719942047233535725408777124497596925598899321784761712726971125055590191867198138714595184951171683425681596905482524439602061701952301028810445504640606285499828535482357644920644030680146404412118899346819416646615900691108564504348098149105670644616059190705392353811203875578342652055504538554550406615681876224862699113152203396379232946052910909648546534155770144035667157881372184470323596368617241453980835132704265309333539122276457865069558290060364015410302188148545071819313076772097092340095762749394067505160686164438951644202926127291781768722243588596317164988338687416469156214786820969211475639634412074253638882800369580539311279899661308890427914829007469180898859570990271098149424382923796815643424640285275017959065735340118408203125000000000000
[3,0] -32326110799471713550892959946554939963545119605678719554497947812088783607829510427339974135663125904119342173001279704952985336409463520748922558059736184782858373416090729211301704097716058505415029381746637755162916306360067730314764432384339159206040431918310993384105613787002463717914566463969981042750390764549529415087944197725117425323696602262124030255744212702653975112623676720804029039204439110810779295957325042316314329158198846051458822963758579250786367660223744050460183321071314270073933397745188401467991263302388621887825195347099830042235837913538235931692776349748749889338750294825751258595947547286778672611437344300069419839469355124096763375938423494154310833627701337144655539330127689148660109051435522561297786325316237903348566644128692434023347225342937905806448317060337262663080942647795682891112007757829343839849132807122097040600095634777812416379351923076933327330921631350557750788157544488098853322738044369126185826989708661694558749335142854081920993423106977739701132868884305785607084925639562145295904217260783189637892422211002051672570901568418405774231603546313924051184688094999933750881774852087453489711896128028422837588528617002338651611637080980772638481464752019378127289320418516482824600188905606046319007873535156250000000000000000000000000
[3,1] 4275994923331656567075382569686216473444535476657945207954008906811298216303299794845306963457841433312546963908507384727241638307193191545508665233685295009546109126675264662055870381861616823193050086908565930871392937676845925348369061182227191542740635443697591489946244733781664497735975954235173218685223517102072450147786369308183829086812011162859104707146839562142513263124957054326597814996327188844666693813906858790823498784897928181137704807111045350255929388255934758743406694670589394380844558387359368980976817091656645296431713812398607153942786826184093262748659671257812257358287116993691556131345373109470828967949732553793962097971214094397144860004198668378898509537495132279279463226607834296666653074323850877814189124590002666800726076044153211617725417264497835450571463182168205448605920138797572241658276250333226597219867307439223496193274635159903163962901325154204223946246119585141074734977720906066518315726895258824893890940636795306813768288465883002137154960313426122913640133751562645842755319992834966273921246352459667371988034109648258212877081868743944201341101255449394997336710005703391902638154584484736890646310957162620330718404849855155313237790892459322515067716880612462378018618194975414541908476095954938500653952360153198242187500000000000000000
[3,2] -255138902111768620324039619194013369509058751161787117301584357890664275424948679655773990242562873022488059068366826579833744022610935099089999200032083336288930224519173087477244513221428579266410581838245283297059387027422591314932020355070050008287372570891233907133171255954251374725841807122634193989963955701786906408757644414627379174208040484552573165353664107318193255536585948306807313123097229383355054181802748387522533268347928515165687663888218178550644988110139700202527606019074096978910375778760865678746295708356993329944976135175609300337058461667035179220113766059440384320462751915604111041623748271528946969897114143096910889709831248972721129001299736560171090401367950512913632282896660206324703790819519913951781579621564832262848597937978254013021171758955547806208889576339987725116906322007975489395496354351005299734102549152062303954939365913961365480779253270192192422241010579656139481201483127214874235593702379792267932219981170879986018039239306750014256327203688143152572077629406244975557319472657727709753019039780967209312950890672637103093156267506020160903417730930078896233219722955486323860319333337816645566644720977721380649991559513576287759299385291234175371252452117411263049553905463483980666991590702252779010450467467308044433593750000000000000
[3,3] 2631867361414518261540274506744565134815371804737058246590890019175565486408970540452960764732888203666592365745900076494547305042416402815716775125538967969925189639355692898336476744469188418099053830574742312167081248451474299899159260137233290576499781154609947983338200074831780912872197781549964905951486880898844754810967271252383250876257178532736797622339878305806193740582591888038896184872930634543581271018508051025495418387111849670166948818007981336041489587999427346928629335970428401717895459465721442532651457844746306080830026283993370043688587203810037367050671862217157748504438014677465713302019705750952684427659010254608655423795758617318966870873021197532032547219913588139029302555852080315798769970097374740978391797576123072374958086878631759115101613744598246243918745430113013924953021259572917812218465968567257079282038191417978037277859137102017651943020185219183629650842647398033216338540064286548612476988860648145400906747586761541446506343799593895876327803367935801208760752381124578428635044386345153527290885171745023218376322455587451520636493225667557699446347463930256289059495229787324712281230035968467061681497009934581700145434485767966784880514621127345109128679792006484478262688226763408878144945290955547534395009279251098632812500000000000000
[4,0] 421011396767528747483543169200649803105844406367346453991295363289500260832734656235870639274779765822563354173082226080372163284475172146806046402884334677309454106778918581446837816377505301059168846359452471485360445615873476046748254730151200863876450621383709708431882160497854243503823938762513933409048876568123002182169294580792084603587479492821849902081070399986721890695532650021370554516814400067402711044493655854331749567579150453127545868080321510605439191295711997179320273550099752073493245132962402419646155629574639886975797523357172782264146358003332907101716262999164573929251471374421444056800409659502275894721279800335795083131733766975256747014806644979023524221087730177042079244592316936846879422854600314343033236796503685056324918994894569570879040590815706953816601253778920397945189954338527810276529001363014803309288706868661807776966497232152850650030821617236927356062478455605883898710975862226975565291774834703254857352379363019342942054278290706704742772705157587371763698926460480284592140670522749294439065096808608432633174571234860990865310614430961133536448217739002050158861898665677202908318313346679216367522136737570934332440315931233188499899762034902035509878459004763801866725812501988240876826807834731880575418472290039062500000000000000000000
