[0,0] -2042369333845637438121489813813035286836072628119585459058241598772785971613189894821162630148203869576565401225524805831086293441137662581582975046223465151996803580302277865510258211981106353792181749256770791894523593228560349366662453010442065039882349947141475697031368645394382107234528796654465987119906921920257452483102540889326770870101994590942842563992460734152105650651949042592493718085929274232667853598451753859646684611300387948726200864590437539995033972188977355181711269328716881962041322184585190764443785818934788299928572786744303279956249119807025731132501310367839833530039818911850393664563097861427229961347377427693621774113315447965203608004908154780926763669407880110509946211641341245782780932685648988655038809872362991664375115394501855504525446088169083264446755024483929396760304871873561124100705762814146621868206607382949165751375432521540055088122695527186389008384000000000000000000000000000000000000
[1,0] 11019181922099463099751370977139939739047261247403070736045005650644567761304812924842662491366237161534586101947532705663979119374082247326032062029581624206012950981715455737259724392292751228721082032199119761516194041501238042762912724432905224140575883369540756897669532687472031295599943367404294703938632871390936711585266779262013117827651520037726356576638658654927985202655477511633272681638577287550326143118253217198539392735598648854411447765628255831840399508567820553245304676048400768378502573001468367736823728239193280307366870687850993007037569353828801399390205542701166450198014398553232386721468373937893349724753265151186418394071694393898554201360928143561332746434139892985640970919301121345619938179838675928962924765172607707219975166551278436942167238460199392187998347639093478704237131840646068825298734610656933552521197251970684085177178456704988814985653222304909361152000000000000000000000000000000000000
[1,1] 153630881988916935353549258201589825405406693431071159653991272787169096158413117561261043786499058790746367393016254352604340879529428995041998445547497542790456961554079216491080615113887595773866617607753403973472175991482612654611658262700597141571910395028832606329126113956047379378547623137740878745841684917970977993920035356558815929390908470527571478984981268587782411468763154665046387983905354527089991731935473257374323691250763739104032629883262702687250934726256141200320978328088921299651440831084093850437125062765502157780523233281251862545357568764467143413556718713660320833826466330274212688863282602719104454873377898582344238306954699702475240944433464580661118312020853080359107766769713801289734748676261212203971001290541634570822286200069650352305051993879237684106964313412896140802116905047290736487867884977595164455346087118371718119833503857855565092768827368929507672064000000000000000000000000000000000
[2,0] -32288150030704320222529073921899963930244316200766286988410092883655171506806894811681248417946184525557598270117829926744728180704408486279833485089510689392202906745196129296886810255393037166754248583959091745789655889757262525198587148508136781651011565321434907830185835735425833325659118586707011497596194041379083169449425816977434783645166883275393632398673117382471746905512554658095576561828882713555729878199598066253579649915517370324740421260136468920285552291082670786961352869571117879085574888101888780251845933534025973949918753748381648785559145142115822382673578849543765643637425531110907949264200506053800783204582816441934736973436909294509288619653760843001511530633123029868047534444487921936285228385568141777990181711593562014023424393923724418229058947075087242223734414279031352182473125638638000048988598351939506200170857690289378028480352234060274675590600868531850444800000000000000000000000000000000000
[2,1] -546613361417582106722639599953640769563338014665697298872020549147511487585612005764521776261133180376548568729392562201594012932754658409600922428532684541343221027458688018852389662746319496788925243347616717676402807885664339875842479063927313907947649646338813887025879464252156960463409150835119713008182821476489147940335066647251068686819432846407427704535309245898288168685493100057880936682640557905486551922280796056219664389058605386591211539245864799548595134201358642697278601481333488016609428539359950625594145519178328827157661220787642055890021130474435578304124280746040860571705415728473744440117603651989459868534441228555381661139886216100232735199281606097518250586362123633152536668321041340250907592907610226856818928684561798989359142951768314661858713967420611608263402321035833393706259055760162252782666506061680057093633760026482020586802790007090549225313117516937035776000000000000000000000000000000000
[2,2] -3105851461382364906540568237133399568080446764557559292161959319425450302526130697907882236574394957924610955188306909340787955558669571842551834703537751511577517114553880177185534551421927068916167899847413979885982051735785586204645570331539295704719734491153583061539765305398301045784137748422596647682605128012336882739964367729385167525291223972670895580057737469838438856057678364273783127577655241914636709713634292914734864104284513022480078999381738752203654256446769453482867475260174249182067143967064124149313781804913334676066075091738047691142930032633502396948853684779028706698399806490787342502880120362686868872762245174652039823809651144867022480934694400048547874262013805964781935581221207728685150382705081235002588423703792492460939014367962779312841624178246839451470939807967851243152064692681952124405145568133528675724830579318391476797604336042389075731524351705497993216000000000000000000000000000000
[3,0] 67414572402254476872823336224784983134777498415561800128039408099910184707508153182682480166978826198171460163328022673955266965005169322522191852150465948022289766281310358267947131351875260996399926286133450857130232702912488938863790122273160463216470887053452994723243338062532344884265819910732735017690816314769842687854773152033605909021273637686985363758217712331531802567454169474405071532847763293272391001434287355936315659144146429963928890529030865747681338081993415033837830275687647063855991519345098020291702600172501181864668301398838896439912011963220329014242792603684313865888133011533791362860921558848152372377131996709031273168233806771127891377903146184815268454213662254480273878841470385070274454699876630473166207618032393792461893636039458227844292829122652995380496761385499668813311425371308688149607397254741157891333384901425685458114745600570452293441536261095424000000000000000000000000000000000000
[3,1] 290694495657676730654764792987277745742546371973471107418672081225632422359753972995235823091956841742014481387715486297295127745758980075344483938647069933663591848497848942980862786900230258613996099994197027005571848408729601112376706043819915494346797945491482529426198080063623755927803198974509875655258969136348870841122039104018874869550012169999106475383143756586541243112040761493708495178889703349172295503697674768522760145621336356194395049386438201412390909343004338677139024513147371150564231071379661186669875785903615797624255831757052629670112167181439159451643856449333350037933525124393271627707716491797133477557337798862414410181801709706728278357098050233717514044717669656966624873981533682525622946075251582016799904787166659627958970768192672717900300550908465371913778051145384628680406510178786651984817490597543132389946761223419581785667369338007445517857176022312550400000000000000000000000000000000
[3,2] -1191643232721480937199266523275735098120880612473584735195056581913205907696255284161413694162273286493802366353246953895919558459825883893436730944679588793321134770335844787386633790240982718891925971162774407549275547269142354934862180327344301556865779008045671532881549316870323328851451921235920292514500805337106606437699890206970237427205913936373053131138333563427995056064173631220329564691821134806183681942827931596843577098728330142672525809701664079475767420698517571642280536917189575823004623250865015766471177575602348290022913780095398708062370065767352893444981889089630703010948993486748949233503467612753596901938657446627746011951943205914035851509944695550130182406399691635080999906130756970348442977712698275053986396510501181727267697724129567231748702395229626768136393680932875688305869434907865481925660559274376476359510985283997032099353909761245920524354865132994560000000000000000000000000000000
[3,3] 49734386437755867631147034207766054144568323172491177633448180150986391402180900653570278259966649757118585946733817415518791545035351548905777605426210236257982757185051458815970186944647690421155329167212814927251930544773383626344807161433406081049377091977923955841896213620403153688843172893240063940778195442295615908224093291099463194478048767438646922597319557369809851318916938027596088709871385192174690766916904198801013514639278335266935208369023468559019286156085738935119921138978016658634941964329169153998557315006813212725962076064139811949995395647577981336473299433938213700115631366440541165105124070294197001521476101405387225211325519767587764040822595581781331937917701163226434163332254474870841619631989433697264277920484899843549517517033926110730671057155940761441815938359890651607924614364322969709199892292386177993924893369036985554225827526115245562231579902277058560000000000000000000000000000
[4,0] -103778543016098487974519545014323364149881643850057281089585884944332671864255155047203573078614470764032344906638365613441122748579943265854672902033331927632796792444802198020916230883552572503381075292236125721780306305300156829351868673578507342927081438376632016775683822519635670478343186647025142054354782220294819769525575975670933487469861911341009586278350131587537413438478158899386380142540715544192864724914242781141525599200331081849681895159924550825091271640530563479035861457585671823444251928427637604588765129617060006846006660081135115843566194495873457954909911046910332317060656699474551509121809861841198491557574895605687570617200167419849285796862146574128676467138500904774712599023773636599687360023378179318554300820798140837638897186423670306953778150502880786846055585707364829165987617655292297412135338293269916771779112265693798230729637770409478462874281888972800000000000000000000000000000000000
