[4,1] -26680362371487743910276262132177480764789989100779914699062523958813836956361871573735919179652561890237723284250328652608630210859795088541411872903432097740424662563266489926085251183996036929675102753394431776925722524928965968239203327507477980763345635814681408099917628793549467206637702058488353510402644964822116996317998258324462626547895655369843311644755475993329206539674160694628569372580332885920050668253402119757074033841863007868488212155015060022623693965622893115127479762959318839586273940151197802220585606289127191081289180532850386750057823248485797747825206324252509142547698190087042367124000527305900133483535850346735772472925879239242245724492831445929545497659340806988975531823170957738331606477080595754172749998685549137352716805121109180084445277504510698988075339976996285537372387941215249875210588520273224669113741170781333745185171679625554619843867461404396706068420356456377541205908089818729535644401552142313440892328336463701470532023609280430080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,2] 57118184526007298136789645806254369454589454652708396318119376540558579576702399945054493796281785647675263131851771075312236995118965316802119142431600777371374039655590824884068177752684046055874749880518083649783515075938246217538010607208471092662149993365234890678608511847585386185105949500965223801101038613294348880158047329268652791609809355316387253666387705951736036327328150941817432612635125513398909564975547497154347939594043870778597248165437468200133371940491887942953547469611908249711399068014094430949867245601073263326421150255078321839470607150690594688040730366050434632771764117181015947697107379043139577002257286460723284263568668423709873050758752699377845549739700373662072932032477999011251657401753969265094954956651897305881422566511082419852106487488073422802069450209203689073885176167268739901154953691120273472814912936990168372501774905652050150118101807341622130510623443902547721533151627281153303846808286540510938398426285896514392647647830466715713536000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,3] -405563598337765888652768586732997304847014967583504971431561902252889346008728143982521431713188699558824927861601516261997162056559508781666087255233986374089664692274570228068889690157181064382772050777601502298119408154681182281145326099192312027287174441697916992414199689114822767351752080001300180949466526513916351707763564903834772713907802287168588435777943788425501986168271268136764907218301817323545029729563753416608328141307982267819377316332830761246754251252413056966256243272146777974627478405186754005330192260563858933448688121477696359250500538103567717430880186339913178258034884998989994329283235753179822645361736783595856625661711886564386499390150487918879961994120821298611832087603737071119884707794992565530494272627229031263129607908944447247642406114872643787899056937433055221710401912645563156984202359430472745571344713752445962024159886595467421225458620147358748846502944911883308682131809447909659249542555580046874129128253217700048832609704070034171902296064000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,4] 2447709350030617318079017886817965206088495706525026856314699178664757926253472823908757878486297933563169525135970196893395895772368451953311259804340336633160455910600178985116447660399297830870408955545583587380191216840838171858399618194390423274523439548686264020217564320087241871031453558624778915727353287053684217676348641112559215296872594876572291028550482201702839198710369949203676195042535211247904208844782350711171415620620481440683489353547442115767427621676016800282446035446645389125357117680169824986806417076889418868330806770203107892955507062368426144433117772546049624682553677156558098218991847199838333707802505744902010586837029507555930753050730843599072194652134696692588170396693750204115721595863102990934101224137971252983779488292280378934792800561883480908847951688945155231140804709921868600770753155653067423200089844096432580183887446259775528438861509233629900181197232179976489096615711127681965426146294270155133572226953098137836057936818883430205626683228160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,0] -2013981294559101539683808919875921848723895351838946725202372356539388013804116423829884840840561149266449963082071257787516232181227888717886725934005657267853542689544516372365627342653793440739670856246861738353974123865439035444140414590183743163598265277093195380854956126560308763664104675317295570633082633155308427140653053844121625022099195306260092505495471998375480964321026415835239896654162793139372902704159803385122063720840735428767735025830826680062363674367615308830615880949338078074803221840081383211847333773846211738029244346430823671446453803668358070883768131465963468238888263268508721181242501235749800092921394391993469875447269435864403779117253455024816692650848186680698091923985552163648967391160551326529174820056873595317128944302819407383598989863274272496699119287271081594928577956657151343562578959209852539161668811640887565666690962729111863398421775032520655255706425821395184628619069474516347777877249076834964042791801827333752234714915890266112000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,1] 59309839784516996175501597281647240839783818597123953765466605025325261793166303871082149141721485884542283741102557802453408940678079993127274096132463185720041616559178190006959544661718151689669230829203366139166115360435759541322270612948173889914203212550436204578912745807649096898938840966831877585596681328799379754698347587230078527913074293941270337354953580811016717545332700068788233833930320699327829748748055743599115833161197470814523363094176506306050901972006390760143749358056150717708079407349657643189435976309594171358786974061441976072132962744954814425254415063096142232818085856284636879445279176215882124876107470480019579657211637533477697523058376554980346114288005035906842076155439975197153111295957715979324985881225177524295576868697176829732579052065055005924315737389402831978667819485613160828938291662992001785263935835987907829408984325245577725121634829993573142894439196869356272606008777694628359001828322647886725098182302527766394775142020733449797632000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,2] -221197458822603265655431483948331266339912794598575021087318472353499219597832630220786861728817658714587354765244837902818184266525898322471063822764491556311076881389127408962327391722451139801384410978219264954415815646490565987223650784946144977923648519624066715840368260930620999268866316429601409665108661444959869368753009742506384825923449697119775643107879253693968137256959706778452410240545607047939857279418212810121564032826878880627185844716278162374124357960075641219243183427203748642097364944827102425017256036648555199285922098958015358362212598380411885986247335102383949756864187608087769117238188183076501865789468261576628819598341754312099253380159103411779055362694985989104117395851291247095482466930593193908767074851263624310997716224364492151860094659880689541349402323348964588707595917444752210086155717961440735590349222107901406774812388639736406765816547563963280490935503542171175495957723825107954384598538701619583655884155204007081834540327905531010060648448000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,3] 1623223277591584920133309643733307484003676978945044365087192832069739836466356536480705855026646174648747105789793831341687655202264032510081889043369486267283070525032821797873676986885797229366769680245489648809505213979729435873255502758271386059984175067269566813453235287060532731525844012848059067588960820932115278036220342654697538244941263403935586776590382677595029536315953459938840866155061169154600933938263838311275622529052074154227089330486035582302411987517378842214158831851497761508870371820685030913626562915736455334897215866676274659477032994820952492262215833230723450831675204909017798073620229982929070048668041799297379350786474843810654902150099011430298031934443011715221834221318683093162013295844908601279556984307785520431842309665136610078017267755969233725317719403086982660894901452015715850036235828935454444161029732068001886738747225083947095324279635493719331280148637873020980225020128369883889483787070213709586346310767740680145746662912202474643072896466944000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,4] 600653634291845710807460849383087514244931645453637207888380418581234519162278734952754413754014517803175467089367878351069360176915117846765954277365225715399769928549324484933605574901224772452059000601711490902844352964597783863607712519865460996964398610266633409287757951403396230033365770279905470086848199241352114487980785683053675438180175458720137919983047496714144946568493963881073514943008157490676168014724165559137931473807963814324454340055612681248400474639688711557795257054476235020829384147843108422143063433129102133297403464099763274797179539778418863772533620350714822497154023036647006659339315781861320709494831239503105436744600673588751299775541807510258852224006560386186732204249055673724047007622277774198218512164174595131020896947820630171840597786861221104584320455714184012314071134737325594015210763844174177480258127497474750659124592063251954307250160193623186743024037743785800999283438468363441330962746608932274684440029625077255879116561579530183830210537848832000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,5] -32933902553022961291786511969201622018490814969515809746127809642398861175476088076062781717071482355197092276802536764288410663557037321336001532430487039813049824706093379838482911318792080599506270336831694853034858897244823782866551966939820717923352980250350186368943866878546038841348120362880332521612259738540100224227253315055423943070457764834611167249889603149818373598440835967656924202518133747658575154785759903865377437321821663530961117404205794620145253232359236610931231136648081140474812023896207988599413765174714119192989223720067479491009454557719326504262145370780449252814660756476133393587400556228511821599703885741500919829501591220447528736293577587353630123559409632017396229095563926711431954144789917114367292528024094811845922583790543894745088585080608392733975951392090016202998251321791078511978289987827317676059028940987661265904316462498225969715752916293736435462874291415557988191532967667521608909349870933704122684572133990800613464780106854271467408163682123776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
