[1,1] -376290510963743156778289185194958650786412063899474130734107622768606093438586399747872018846465128227677873944357966019490641984121997194124022009628610021074688310191541126101159295297357580753049089732858278190774553978952457427821269911589983779974045567253569007657189046777371418244724332998776649286964660447557586138236330536297928166042682339862708612166229396258323976346903488228820886990503388388932796757638985423590755095294497297843816291836748998935838840052152741612157201709037753631768075250998363414319676735629821483550674323742466836393138484478555506552499100376232702648737342537503193853571145254833154086684445044584389296400098120444905137396782358434465376119526985056930509335124059442516910717530711898783517380037091960649703203287304767558618328469053673071951744527756763782988064902713267622888064723825197056000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 243902533991713694230040211798546719499527532251605846031491606933459572377174836124612944364761322482861702644523841327507684121063388655688590716692745807460904093706650971832153808962821361404759375021515302410746802659387157956664722200301993833570400542977908696231398570388016495722979039882688436728339690607616469790414193077723255461244259891241572327617479439513876786407428749363209456044969073989764699769480797677226326705596764030042594589464020164779901587971812101182931983228339628818776906836760326465584829212784440139451339556468491781404322138068268023005442386078300898456595107963025364452999856860980968047681781190777199601588383387651824261708989812559251371650334113636882098235646940438123557986348814299164254933819165919306021004663355074719765934130527229597478455463606467849888030350378973977073259869657628672000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] -6856998830916491447853792597595246148205086173149894537855870458447230811048621051294309548814350009899571619338123775445509030555954541454664671780139118144254965441261583820347866847779010039829061017772315770441388187432048433990860288043540979575436648359812485659387305705008761161105256350073242399666340020673337852659221248430886411737095701467780009949761216271358878466969588229955129497349468150499205014097863559208885543684087099803738657732899886430801982948799736194922785664309525948309541951375026137516063939925055733753601204322611269345115972566702604056284299887522726768370663038786567608828693568478036648442472100174990668554430661979778225961661682363054740412523725145547880656293983284982258562335212970674703960856129331371375267992655772455656938768045206293984666535577294923005349786213951910386679143763644776448000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 1600819734731747506119280498274567605069182389686376326311110939951959903307928448883361835673471036544423042277696854001860794923585182507539809068818559922499305483263697242741052273343792556589659980191759366880147951530607592846265090252338347016285057336337526616303935654123731600947919575825089298511029143757047324657266756026740756281453655613802030577968701384026159063362206663702912257505565604315204721552749177853904954266328920039491578804331898818336769261732288982363320390904714541115584263060718421682485728500924561824225311986922579763249479258279602137571775011626218702332790948786014422124139499061981983472286375429931471937590628567972776878084152951351463423646086240376326005618335837082377211500784627574926626566528998055867372274890911917718384476382781561125409101058544386066581835820002297693129625347686693601280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] 12590137516632419766696066475381426630115672655722737512103753646455707025727937099933996002888975462542500811821203970590260475628769498771450227154798921476962554659607852443614525041145964762537940952087513837376893963619772981779192869959028876631259243816090687973370872964129495605188904857777775420368832390338973554528940079480239097275097900964974993483147699216448056683656704941621775852683500740224537772364206933864304306012234003415825965991485218886504715917185249016892661758620711053352616398634779191523736546339789402218939494231207025958425558563835511443159607316408001895435870073543980018151905608507095077653346955183998414583683580001234942526034163999369892600489958601656610973651608133165625370874038604136062166821897289022182633894757381045866854518202824646274999776628630172116628574366243783839821989788237430784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -1109851633994533610905466778218097755022871307146733353380602091141472289777095334289713982932867685119229716515143234488730646774540920080120235918795888478962646043641528415308784289720354942744233342840475687190493741411560290648947649927981229157888886161589750156430603198937969599447305437666450952552331698360390498105388598345288142007611843862880609038404471023394800711791538666213119475953747217868331515881376755823013613149274246529406792765279121745198444320090200072196196561959965245046863263852521562101757667901733636987964205667817630487299196116220383481416878188580901047211780917426532713885329712411880949457313928282611008187414740211646655654234168829653958550492384569190701635762106715713606533471492454514637689942426427360739829470007758989505408835548551280726744574524909868695774776343312804891527315679582709874688000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] 15557425043090291345303709580820870974037106602573263524127334347766494977957100835980489412453524521300220799340147474955240828527020267510233336484690768879397838497725739293070394504755552590283622412171460870921375126960254158613374544229658357197426460696411248559221048287788135880042866579517605991326330481931051551585046116700695592592645691653586811636095896488507267144379802521798788731272459956632775545625037958385081675377816555932437089536079368209739157594762680782701458184057769729960743913886177597957154683177845604393148479088257804337765111380275058205503428357191117629072741560415989015160638977941123992321407569915585707649755724713575973795754931696901439963587078971935725838169334157379367089934336572379469929124468381991917510644401811846249889433334691671962754725535752154875347438591821621710377476873370189430784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] -1812998209509924304917673199525167690017820120317889283859030664140701565052141806574803773110562527679412112818716245810918647729625812251730255456261169879125826755278911858817885670629524537551302569479695887319145921615325995854801389066210769703937695204189439756618407784006542277795973308774543987225980545675389580688319168288282442870780659066858067473614897703903748228543071754835678461323425848516878299181309786109074333472725348391577658384635537093967196865655899142735791446209316957791838370284672311399997690487586794997388359189962298155593458537033408942205448214379232090655997471673532623787622733673932615194571147977916036788115380934504219429237301412854625419626594035782909242719830207057835622815589279106456844578951330412504289753063738075609208108415045548170947781737254455972721242170360920653597361272036242157993984000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 281964186939238092160953207110314239761001085962027024035730947564978119153100146752049634966063266598452196573675400359913907752073197042113291144085778440381924648045593585156276333253002709142555699330508170310553054088327011527683682722453389147616013907782922802540347647812092718351748780492909506853798839798766401216304624897270166936245798003172660861834075428532724279786265987204460720469448850692279274152657048606934780044881783765814950584798473190369714128134414685609263155008725859620319071932136587119115162090966735179629622797964744661259900956502441341755905679042463558428795419443070178731688644606361571385462429917536657796239528714124402433944106863675548508405068580631694652117623482478915633621486835438603762136636027876731237903591173090810190605147181380464990048713670697061705313220849423068342854255336354742272000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,1] -27569869183575038442152659353248825983089003860312253691227700481597734947370772605060541171747813135991402001892301905036449792784733386149104678370840669885815141785294191839998611131711359287881092064793002196852172692539150502476979625302734553370107648213392107385839369434056451952213286642925911922963715143830979096205023412445426421939853362312710435245588162038375944493545387338311108068178709209807417857832876918701606770654806111029866366170053662690607766994072633884466239695106973659599505756885597779145610171861089244999339238771965033257526563647987358486452899530940290308584748698316155504444217808138699743192989864589706649985178308751033987600756343010641158342011218914152665550290489073493180414200760585530354235072445931511474142660979659833641604100141695037217976635741234450421746714462126721167297654520023877681152000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,2] 1243298006141529540040786844916862780879642615121164292908475114638133674043073131999255536932143186665033189645594635031268781189636483355056236042609842538120451223006529418250765011450595922542202915570561582727235748181886751179256519697894756417602046367265185587439330953953504579169769244223980899530821165668878664952396387838302208631321219834959026425633255109186572255098078999912064362666778154053965675152011509331540160345493247165211972478456797917891648381643547565906459558598240710289879019268016658673625116606134285472182172211800279029955927720788828619080701974151466979147445839714289340740327462475953017257756302612652177533801582654736124413405556578921240567198846431761766131563148936587844059423110911971320002034039881138740430731515407274211346040823255667091035574067953169061244659141902432755847946063572435342458880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
