[0,0] -12039858673975922357622669380090987702984731713311955069969933932667227236940806433911453537981090994873939109206621610982985149073276400079293496334888464515003013214967627987381811367362452741123044973452770481266062468313701761901696124765403483475979127032823163271830898798245400134690511963964461677669342953706767174637369571134644877823918907642604527907103777554247439658756799718887064502981831007718210749014864963040713646389925718721731831047955480397523804040182769881766261630142476090202846328021973271676732600193533024676148933255298043196195126595116853243914644839204873556185059556304204517864268824279442282733380798985665327988445218905908989766051821447670311686388541962705081522511953281659882732339827044746713196116703810137414781348073041127203512722462776023042204616267452742239937751536206753104195226166193887717951031763052809047308373846526738261654917736407698073453300007853900864260098178202506714869778178226854827660654827251321410999876225011113328356437193647702608843475920018127398835327365258499942368604351102976000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] 98922352060971788872278522242502626866749139906217693860374393905167480365109646924129612126781127237532037463581915593670718103233833988451026505970015797386601919245920601016340082757542610028440551655070398428935019193606311298711005151006922629805685170033048298900647717242742945524876230835606999140985113823932802001475121104428473965377648129994551693656428871835888552681932099469012480788680716399603742479027638231946946887738147469584015170151009894017337894262491240303086625820760761631776539049929583103255175925737089357883384403006781870788646555787280999732053922360085702446146901664087076102778032634977836421215563209925057856228362753554397463859031362411807038730396033137473931184105408718531449803745327776279032561368220036609182452032426900393846575491125149677970792905550521886034690195521427387947897569772500449302540775512523986355679155930867742799317990702494141507102810443198711347016690853939033688354422738885637056062824979571694417525821577840652710450963167081731175012059486802799328110120342625528334678114873376768000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] -796515988925626231606522363247112315225848123961966079649467498912476686281639092330368398312645918447393589167419746989561406380803654092819952459607174621097056879036962521269401603686898409647158434258989042438314054437238398918289282951385590241957964789314545016807177996988077488423772293601689630904342840713960811503872131888323264916065713153252669444626034545468439679206496334159525153608085776782068203855111906942039347716805255484174045822163243620813011519956702924247224279643198969305027729723043089341677119937868409308554834391614579488787161390678693337347771013931176220931810820852406787581550709612815369584554948771347229005189272092960625750022195396550767008397867562176392218357842807927050215949177546863338951967438390411437449048601715739970613063478790179537235405273912571135983760395239192977864825178873653266257109783238636096006946125877795655378684070284589958193883782953988738829706432524077106457237138691895777340906128268216781132029579287790210945635383645096958406164884912592877477782345491811088466612446438621184000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] -383764570798203792962437709019478483708503774253253207751137986275040965817069695179045113543355203722468727643858886587838697492128493413925513082166661113833196673241451966920419130187842514770355713630429991235963720458955049048289296582819004652728673229450588391206926531509173527438462994775484423685628681402760639459437352903569914720441755248971094097066600661538592913434203539011885237085741307235782851612744712214547965315794050776731865693703604610106125160618024092174269186124088005694584305018631711839257685589050977016535476197650642832012163594827969428136373781864350464785054051930198118150528165034677127593004123813367030695041990387450706298092696978286244933730194105015588970186379422916410821297916434039934446815113461463730566772085434188476280658208780381828019961240075088561833386635220827724330618463414619807555388213841210596837692718238125389491537663163997873467685988434799238602576135950371960121290171726116587438899632377541557156393309891969794191450248711034734539225743781129941051563340264250192093742832992387072000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 3054802516560248138871366557238263194981065301167046975944375499186998121246079124305220381563070348681373986681429353807994961447765498266774590456534060100312475925807494478508545332198583492842005833641567418312488878878423320393689598936032865540456219108722215748246047380741807596436427962434785462901263533260906046711877984392092409325657447330894061647588905222727307994065257183302464098759886343442836595062773469617824835845159265120838816190196993727661738314174691903224550210000372323535629691043711731538626211809832568091163456053658318369724337280277905236813128028506531003172980414150125481802399591090438005985500247653619128166468270779500602834069033808078971670456851068741219163436121646196628717515106645772033994646410285184553134874427645468073476223135899235504531727665970875097952084316309617311086852289148624111630020215261700271983492491316576036522607334265267653856609688863359904820855074390304094626173139355516555296543712263426379795257940194131039741744510230261012330024231407403713468761975512890508952044776160493568000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] -11697931077878329011868074993099245038521877828841753163349454295115261874497643218636496570765257386955890585383928302662124033886471461607674243764406178169929352639459792884167300181635888374033969523410507372550600264216038359967697414222029940915532152397992487479658607255400415256498547404607447471529501010114658811934817641353573625386183769539213796810837426160636402969297880187852992668529096327020834461956696198435233991712290445685396199632963923544366380914820556401710986561429010337274780790918215977079472781253038667408252986177910930234704129178509441932760740758379841996302365935308645014019910468978158673743040617534186782915908136851565512123091648645474448042245314304219779368679845003146738015825137503143055593365223165069066966659412863445505431352516364345478648321341131116734179064382853239355374170679815957941934212117864707160050697127195960713025502001436947943328420138222361690622888039319328118178824250637244093931347674517876763610762453864128604783191027714259037170890433537082691309834112677919835225547476209500160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] 934191947271551823176392161420632002716582308204037324613140659952614781384561428487991500922970951516521964801834987943985559853058803344268316901383648588245310441318636074590804734700972534912360832614247306672384758342559561353026000677616373694882903056705389409472629824679984007220026797446766969574740531079891293622502936371160754982048267205272241483583461176458115403879740073023039979930197904732299359912976886238821992757840009410846143833927437452897098836390768444666500563867983134561147528930037854165277330303205327028626424728565829349373580861934589221565678853151490184301331861464895969996543518141057424516954999166637645426092262602690036515086996360993088005114891932618817446300941783229297857124017785182383729875247663113296896036475861542384385695999306070425159514141303605664465307665119449069546193318566622946707835528487844895927216705973289227329028016049134243946184588249064698762204791048912709791207045566579291554988920508707235355847453511046353776406348511770156673468614129044129576169240294985372444100883392757760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -7421824266852813668352076310998302377754589943797105259415527364032766540712466493450377749858624870075408765706260003016528846010448247727192182994914936239179094810655395818958763148466760140725175940663952774017051210325574631137829051844662380245423151446084670571491361323712718946805522252275769918923185603294665339402417660303238462038471120363347583716509168188478548823064992959880133700563702396644910593886073927434108053342713132383558455348474744050451123777250314305467500255073758261288007432967468936730117538292679281712956010136259001447867638058020530953655861689173188003674825416435080534269254770380655771066106729349349128087500557259909292517878157246130783425513957487636773309816384650925286774138771218156330220169299793664176696337184447342323507184075641699250525029199227741361552995736861947427921353277147416302220474357952154099665902698841468325357393449929605193799831759189830558902148243499248495360954323560497803584700068735579145157300827679378352605792416212618987093893345273907015921650774525378487825484093142859776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] 28770956622518017732952342390314828646154804732818569114180318245576725280193895994073863310708290922196307738311856393246020775881402046436723648437570279717744577183789531124896044527263976409391010913901340184925933427292746042516545033689176852740060725894264976481823424895355469048238865004249429622315502576572345174300125690743439598368894562960936716022610155267096736993210060377284280127645542402800869587106053810750308681427770605850293986190164621485986156023436264414931222133810998062520626921139030296538137607828581321649376276889591457314560605179614866893683920405573953730392346884529154109294363570595694766538452387479878975918183814392278731567590211398031427943349429814247702812487463438699374496131798968172096729994899274383549047752893307416597329152988155915840471607153580729538032355450373255047159552141535890801351161169123722326050219353874605249438111212279366057571792150589218735379246957240172586955742231295162914779236711251895252962158112223200134933580879346321084831154734954872101730424677297251941897263134426529792000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] -74972430120870024074104817648434204892130234292995518931362494802626064029974960128399302501292234424111612738523229985659832686960226382280681915289928507311738269140790179912914828232578914789118620121482950567015362517758171745291673876548053361817980445818888899001647604133956999971708528337317513326658454150353233624564010623742670556841422100880725481045721149839754215447519423654800458897641537276003699354403469248143175142568665953082742568343355081394112528549163332974027926787722447344630108931520018570908960487982029492198613584213975806399457118451997800120140008028628841105534018957680106760437430120484664758378797136860807025205396074518507224436448129144816677243835154386810608348472946747569195109796774439216208663062477662509077340595688699790684466826894985157617426879232368153663608197352796225038988590567609217929269777947640113999231165111868900703556164823233338028716738042008500071393192284930945094850912668677634930114802011492282050222056594792823683572802558498371753609548701715161751251031464397169080507482584521900032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] -1599216996586748937161337576870333176651280287340426099241451850947430600851513426011735832178790617966503645928160702551993050616211427710583874181752541580861987811126276265517029804154965085572564204901513899545803072617553134778318757819487904798209946757357347958193145377924294657110864584234359926894658673986726859145331182139347844589215604046227009085985845675623598121566428629620030517284844830908182305350541146648982293129722506119991533993509898504286580217884362522574794842512798393580028179683811691620648022656711918729166920101265409688391854165929471289219382472827879787141220905766632634765031791396247709514463986051073545550581855793275512706921063765342503105512626632617911641118256160457689138809814117955710159665863065394068556976341756969347331539244604050235685343452009616761098472695497403071291640616711097999978058546087053774157658103385328624824845291280593746701611137750500149373818981707298327071800540432077766712835073500644323792597077487473386328056390672483733825637094645250902563382512633593952602780055176740864000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
