[0,0] 1961721503086529467864790650000895149262803757908769155720497853692679332227486782683676807419496346800432928413299209835842626358526257166420676335031180936389666368103618533924766465767168248921484622057960588731524396872343950184397777286881963858439419839153380982819076002358089098297126522711345386151890387120772861449388097128707907406524067965097900371258921977258347142799082780542757322285028798639356979217074555550073998841597084635061739706016841906611646346696165924869876618372166355063646368079517601285876809619944324966863606083007030824350717355281696412136439878155655443604575926655533598029063243195396836966075191701160824564889318977049218792675347093880156631227772074615434867044886747967552266255647521522326757358395878688073761991768791786936219397770107664090061699764310071636631768741147727847572014153849836571035571445257511008298236429217660363575404163723933341221555318141561785661808356780995346615729249018689586699387482047321197162225026795917030393604507953620770288173217102498403794417858009326489261181227675831762944000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -11205176762455966933173159303427975062491735295209598143662925530732314008737086029121376944783248806553894184789277340040124417642298794590035871044218528072817787146034485488704284772135227794832187350086138009238135877101937552057291478074244301784476250141116037698202595357341963192558099335724524917352630963301850912396259901628069954205091889963465865572383773584685813161137949902382752498536893535083167970220202826288160700068575452075901947099474220894605546769577277514533221711297312527386812950719441092160837450748154349604268882574005660437505658213521546516381974950731634634726817134508840387042239866495429475697577537891154407873006774111568179589323670824270255886151555468998907518631887696092053727669132293378518217293721103078189784857991387600210217276974811088282234301916383576935486275136625419019449207325465578982101161184692288785003304763729382352252095036756840643808363998838475556356133043126679950889419326984977459187278180751547768215410554331947119670012070633877152880770250747154640092310123679949635136095163666164720074752000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] 1106924437865307294275238637749903321188545387072655343785529691244771779071967820812555142450628466211947477478703320129788887261529535710603687637838889706940991170297384866935836586789711469986891257737480271117304215589102328934476249295763841619764464672954473700982046586420630350385055027208044780418957995008324399924225128404626601961841743171783052681960463582957513683622493825311275356791197256182754163316674535645200731372466112550157747255625425866516020127586757349776445738931645563938854727823521705398111442227354848602510977770296963445664285875142873180102299192258443507372469952571783937134871328439478484015804392066791939332885636644456122014387959200813440131533584911657207080966594060122223097425422745392173686981111625210069814151270717833794686025471267028782822473059719142463120911063063535091917904582652426933541645812889424763900063025005183499764508652786749009151603317990980101564194194824481900104925873719280030545664800531182987424665169456096125380512201316665128963245883337138434859351303425909699924661291859824613570700640256000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 49722644221223074626689041574631733522920900303778155050800895204380185600850579787654245238643157644425204272425652704653316804617146313801640276305163306444328469548242091104917212525804076093245598033667802924266130969042194606377514091607546318974006781136569064736815224250745948790593709808860549806847459547231625912607333530568398945200748094454023540730986904438411824030066108637107414489859780900852060061950109987214349438081079362056949829249538902878210022299438747426502171260834847546313498519121370675691299689020975367687994597254743091557357188898943931210144844353001524103965294741760059191141282166509982370747578450062318771457832635108062393725022795518335956435284460749662755968966559808215139012017992930786303666436350781311648559046643325052611945744736422026694730474071326771511987013219892226930388937979891477073560129724450013475361194583247965383309585003184763875157571864103708138287346993594377138885104320366926900202481789586500155220556899266427004902482147362216899790536518572903019647797451351466006420152927381536997050941440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] -6000142868200085076079197575108571000582472839250069287590405465051961174167416900461802430324543833718799935728709852038405055397465398397343645333173487707337466256736165841036212910107775733685817670667305571821606739374606185379876543353827527196433444811865467506302918695227670103742228773932673422262439906033574319948401159794007455848193902498571314031526747509003228319705305769759575063856268687019145429612578509120167205384037116800651779001004483494656875682331582159603853800984637526013477866286829553381519747955395086742991380571430006835505925137419204629460702810819270156905406277291519136941272494319284814105181365427162093873264096940517771653078313407311170481296664081708360169110784917460645472217988311858300916734888817710595730919532684485265010502175011963224720742251017388629889783822196835542837296984789902101113832908390196564559828433789360046767188267823942025443123144512118350269467942551241955256639209120438504709024778271198609459718307488258655528345878525690701170978396901922652267673362198726527624362428091814721698612100726784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 209185485192458716502044886421187820888259255842322579153143981111705398960146382776210589347554665099974997433922751088952428383626750782322758206949048590618238552787071116236142159780745996044770331464194372409545630039204236730506855641575637718323766938290555093888268590388695497283667840566167235508106743957214247383408038416475513838650679759001111084457692936755518682289992066112770092455077896213623593800741113858902572521625411543653522510218016837530167925959412568809432323344765545591922336537104063344425088664312967440165872497640613872330824150301350779348168064785384090929114084895285971119222633472398777455172801081644455612920528957680340776692498016109650335391976924097560443216785451001005117026771306314427039606166884548440537866929979491055443071020860068190946855827104777301920854821541325814787883274015777529437498239711161798680753162183898617650279879848524160716716150174848905743299100904597546783667344123387620249576573534908961279301033050828658479208771718735296702002578897628895042083109883417679106849964310066796557344429117517332480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -155645223905784039571784373403652993043768299296795431264616359255610950997940447346677954090755796737097209121400081696503578366360939101931524349489420918249661813723186270708546398148379702216475365311376325364613330117576997716542114615479062142387149950240731082822103234328286327395164200627185546799489641383569351713466458972693408313976309623091541722447126959697157896927209672688425288125055564814542276500027883380179810916358188481399198933354760546497180476245717488414834768196303489496738699731955907980510742167268738675238517082129363519544092481264097549417247364115056274174238872069319465749224592430883930192678265105877918762044159319399194759780778400963432369648224888621338226571536000197531936548402189103034347323130312485435058979470484478560542142162582143455952511744242274002908979204286665050964599351904237618196889411269489014646616469574356030138903740982496107079767984892773183213650514628605252963207694137165577740166265641680243467650363734073119934173147898222492624701858101336008501310901407110356263261629177781680358238306959360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] 15767009355375978684326578905082071628012340070251169538421896859470164590091546339271981233001142308879616703021442838073482642253035974945254713223672321577007482974530058615877192621294627377456215845502745753324763111314276957715025462970511527055218766801245518679997559303231986153813043193710620316633927045359511112451429190678222022100898665237227558439609412285938367625126250395255267902240772218080974955929290966387067604377456100226000052047184032417416729893698997724411243220481173950165947092163534549070796950024511547666647857694965931310709465328068807950389525592461899336812791424185567996293251328090928694495916519265395411705516178425191691737719201549911691278805457895611968013301632043460728792686307334991555397265114153380531846482443472726376549760798260168218295035268686093786918261404317789980312639266078783014956249441340226568353071349954706543000261427342728764339515561208838698341314201900220316493918704894789534824339313819925352314106875886076259663020343740518563721641613868990661348617749490329252246407628516757368595845119435866112000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -1007835791639098286719898405029303934709735171987145363258398823728317888414019010923794346747483967788323989928578472489850684169781581078310052783127655135512991719648795855887875171874360619243324844236760440891025043814668566901694380246960841667962557844081031421838218866507971678543080041063392450853174303107770293499387976580643571855280546990713727974301663324677818123862438879611004579815968971552055249064222503629661629793925549241007611719196928389036348134536902932909799965765832100636213180570664677487323123754707618544638723629024674965069457733344557033076080973113028346896546008451086362605664758847241484667431432491310980862518688063021915026859459954797598536314267816623524184297046595906793641286514606380576263088067829882713970539459963567555152138106850721741504108098028068464267575986023539530227132349007303834584739892179453767798749778636004438650460335566352029827275107565657398496223083635013039451499024618053855021377371816048741956100003685864345444788894597563543641658027244180338525505474226748846318360681195248634619621218249447850377216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 15884467111706475713573362752867020652837534053393613845270713561692936346315280554861744671626212145396158749758174245810737744817990861079650290366523574716039607630555487654995346269717321380807487099961923649224852847763890149362773869037769075519603126247582548102139579163477824047457846006023986987702492297024223549270664083039729875331887532844795148180613658566318603733644693044012190916250857498587928457172203114715388266119562081647234984888052633856520934549802022246606160006557296803812196479217075143605765097923164245977363922150879029045753922550875012765810753732591272860723243582501040159582395196935793204400161835188484205382931679989891412976238083261085206582960598530211295116129003553505552495721292987956159847541784269061786530058141200331236476349699732185847923555789655611642009780811246535284988579850398977331583413245678268608580913943485082832784056846529151759664301366361965918512347329983251521762938581904158509638017126478591018881377486437019762126412638948327866845367456597381538455184110731648033382449677296975694268338113078011483620638720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 497051618593880197164933970378511091742594579345489102062331052523891293488730533788080308178384057107675114441121563993125231138780492888445510661216726954851362581592488206018735708422826037904842280539968017091509509928187296820137230944837590605606159997700270927675856962131610938432723743084610249423714980368897488398095691366843478648456969060922316976573346061333453900505657734699640379119520276788625745851217202090711450784177725223592802869612521661503410122682293164472959792599692190175398028602755079576802556592729928610018194484818905175820733966734056397157823085164095928010616899203160282646733366994727736943958999436263984449272609698787811698060250897768470804767328620865085678583580845837526104975014279435959268793967586561638972543130703132486521609423377379194382864927940349218596395474455759586727732790615716963670432930107419108240574025027914755618142258167853973115065585201178083397169958643658015603559687067993590375093854587361673151097139436636625215993780838517275793798872903405307232118840014720955301104140160555261932234596742594560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
