[0,0] 180412265563233160908412630229932467382853313264463819324660053074129939603200900044949014034909875825018919655863314251187335824885277705561016218974098677646985452517504672496156371020309275756666444074315146985713978385076001606607177588418521815640623496432747199829921319981797869653951736089927494810040619396127625775379890840903478190118453187949749478089871803199693166018095411166474543799053858611196340317663828674403111292254832956023121827301117434425117496946780700347046197843888603430410832164824100093756581185084884647401045304869527603729801324060241664014490630331157627030663374734723963255258006445785369022741015843902263536158518404706277368743378985336934913657348248673067184393708498520408253021713238388183011998210049365645922267036521554324179330741699020494876465312936541259461307898065567019133362821332159552445445431360405985632411329788737930357456207275390625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -10463666186712313309688498916200657666948755782714518821526380888693983457170264572874506061154931857505301713218540839470231082772091694494181321916172153962751553846203482202915221075621334398386260484010592480080263609002786176945844426489110072655403061802702839389869267878028815563706292984029823898153754494071656650297085325654064472272779277084550197822214868019684973757569706317223169137419296219412096678969357775555102634926192555119076795457349183413653374264495220756622500973778190876537058966407090628970300917929276792282568054993203188598050452147314433934784962529281192975874921159462621864607498979650953831752497075374829268828964883488252911227981253744471867894525784695628082613393416361903509032584185854922909497466895220557779944252961518490322219515940363368847028901491747257606188916270780158925064255969860776831712058767068218578799587703542783856391906738281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] -124076606542633777909144666877400564680696065009185261034415106861991168547281245846235326184399300977738155413349872084114909216968853244593280157923282561827913778097057352998271552446659919766355300064580736027256466303659487798264057445086533199840831321512450568653241908400251424334536361525404229727642129362092768613406447174805734303487389898391514899258397650714527783259902689690289744199879535628273944272038137522358456692940079899481987713850673612855435979095478893253002493988345560447664571989000509656372858350649041907588371521520686519423329537760657951003499398807575686445474938030977370601138371834470053827661717075112203087016856560941178573045629194177646246476674251056201141541340186813547412222728876396770425441165732309800101841026756919156168850536566044304575223272879734890470831851001443513525956340451464589450171869992412074928944676344144681934267282485961914062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 267379870575241867623374702870159862406158514602344871347045515871660488763657411778218797661918755702034961144176308730478423778776554610241700529921094514647228101590939163237072847171951748149478979892197123725767366653790918973701714730744581695186633641777976850081219422843692579432210407510152105262996707561132829923164327940794030177191296679639861888100331480445859960721384249962051368255437148113374230232210467241201332844742378990673080017502408108008598857649674890745915624906053138515546708085542957501238133752830250106102683622463507554960954781130280904855466841108886618642128927301815319131458514569561994069687293663550092189554501937124179355955493580140712182252095912063570940091511555694478977716665594227223916534453415873125952691659425557645016228113322989839107501064388406935558205053177799716321532149722859863851017665791788557871910825269878841936588287353515625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 10167152649347956618230335557437104991666705932538752407675150556019783641194180021980266515872810040796051919186250340733127599861879063667269833081597953777942053607459806341296881776045663945506488869498709296827138230609640368412926729617815762200055800724787517954033574522852275207402591963124082703783202668854659382055387341657404740661391770441788399908981134192876943128304496207923620291511808272109565357530134301157010004889854302665128141074374504166606528075905102318940587735148791225512100274708338339306459990893877816652009523113711840174226191428903509288165111399260739690342196358907630959492280849370009272321774162984055763314867020435623562884096649339216471058812332534915569704300210203344350182659720156123851336558938315974886958569615631085321933056568807076848251259137100439614433164006403890655482567424843559882534064876624348887704241128915327863069251179695129394531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 201926240742147148032517742166521783171497930096410286580352475813342080572875585482515928836750560957232610597261664834838073236634576135770067436242419603311433344604482514690757073770532585101486389186650547450051354545465599029310266540174715806167276398928405805311245622919836197670091843461637406303769896735384903310841213349354134477131673698142075123706598945371199365501165793578739870987317991722802539111098691341318000713542688916139600652187845069480339128715559776194628914941325577275056113163444457473068974042503995867332476309495642853983270573513223877142970395855076753173795913107765708146132046775751760568383294479634551716160595846670477025125105021782652231431608794176622317696457058309833779109343158067095884452422389033143489850336476068296339281049532926061290774897097779613318801333450053070275803197215511910539321491520890082180510888276714354105934035032987594604492187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -3955926519542607717268712247951226126703615028988603437930820249214932174888559456183953261362166255826486722942562106956614328560351812657940622001310070436450034629550364356916527061701150903757516387317705746350889457009666024371903384201496208340150485648809985456380922577053107498468138646085769825750286963481242461765604984659231662344463729800553898903529781427783549519960232952206951140952082387443615970374884676518699307224714453347374214532735970724407352987401756467816445202441586887386632625856321429341812536402023932410033936813859788251948510181436101397180586547752540678385928387281702644354330275874607879070044084608984737316386049396093592462740226715488927680962397460335583991478658669289733003719817910074963626292653937816941525955509364599692196590613083050517711854563658749168333549148633323929501119415717852728069323380195865258457388335955329239368438720703125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -142712686800442622828653599626522280749273237668713560559817734253451742232662020626739420318556684183421837217340770728133111770173978877446005836518247587071721936722881294554652196252082876622811818632216123151385865294316570942921382836088747446702620747809391772004601510666659255786972322325509877993992356677849512964793484914948542923488203074798578013261959637338811214689189403082033927296852340524861279860961872074126972301278770130248899800911214500238015982005690603356057121519614947569109939830545586393240185804612740311571302245135227401515410258944083357047265679232939724266132896319405567202541185561479780242423873545623803789249012114588579957100477101671436482404156790175789136698737535284320129043924976463910291037850891579306682973548875993677753514020162986320664105576638372797306912348516161708070212223614329172820016824144325178619352456621527380775660276412963867187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -867611507662924352561209876562944372049964181204774659266050027920309717216607195611248814793493279295376106225344637708197651563990921960293687142556711372928876290245352317985611440202470965860454579517246199573076333878621967876395785554856571240215910295352506358938072679800260123824417444524513047418716907614853743230434314621587307836884911284360819830203162393005404580211574195787418542029647418121399703287629020547290340440880171301609528022513381391056493462576987503737302726004311952923648310657604309250610093616021385183516523334613743932343616561474869886412755357269273121352817891653386612080698112515023483294230710466304597844123386974583579119611377849581843680411328756081949810772919145906743921084370196919033067882725283145460014278016037963776625101043256558153561517100468349121770165616448788089684780615347790655783036775962274629060960035031868642363406252115964889526367187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 10142873399006287514585867062735443837854918737961069021755411789896098369484378571693383076301678771628459394445699101453880250153093404631722895621096257797834431891895536960573835922212577193715232580030719476539958312280772993235588435998596763448106653903132654712298073842824365635971841944608139156035534731536914201680465824485065032450213721861880688447217485171629356878955202277299321788512196181514678168281603111752479257847220993474255016123619100542994190522373572803133931305034152316000304820170300139059423857264099654768376673259488769417850497421464312689020363867172459963441692753370001018205911796302124747440394678541032324896510320100550391826040496147262889892990197306851288885469869940551282710760047624522600152961027767490514389871403125556894571283076459542677538529796976702041439284223173130725935154892342843021069581981434411499634661371627153414465283276513218879699707031250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 37543923387367443360072015543544600752391398971132524262507714012546655501662248045365988104902940160513314015454233597534072850224751700812654273524619860329976638938562586977132503524417408937011086608351014359779979420505889474104108089520115122387447783537828317949516828042127895929762974136085829595168605816276630182355566371407641574682284400850020168830714322421597094270930584770468016182540741845071036098816508095805552726235574430063078885499937126985100028909082959899742112020417514263993619814331237602650563894262387646395150598718561359977551619596084085803871854241011381776411672370848043199614437008982195456884636272820697374577518763845159575742417911687111325432513978409301342084330320416011128322312242048018084163987564794990495509710091304522382365941447531967088731620563788928123965109729942454302377923504149259162586817710873313136410445167712168768048286437988281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,1] 850412871220957149747359654578687559819845553105401316751616250652865373082068838060255305955566613335544776561553755654871750037846725999365267059200823110655092763138454465191195344346849056316510695085038386974477112890573320404315806858052565397672089966800810316816600303709579107403495702483311652646995946136650258512241691159414461615578602968765448433967214698995232302777774301265801139798660746869326327389035176383730276274330553748809014926029408216083306569546812858082814544755758965826514691490188539634759769400513268599575773680358159608992439799013400237038022511628743796734060737198153171519694783330826354767922758687692461950468180494690057780342162570002206523519937103870168745884708589817680439404052409736245764606095566602988788962802812624985434683718361466587941693039710305713485161316739257605017765782108972085510047941285069364285298387784450824256055057048797607421875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,2] -2225017565068162514324209275585797114388046734267746645836504378713008295180901182534996582169961686078177158883765427484979906453952788145533341134416446447624395481765075809156342104358777656414366603518658945367489320924782949626118437641392114751833773726557641937290128215348049542027330862818301873750157644733152703352060295672891217302769493766563389049813223939427351583017228829568767054616132567198377824768345721161835515358963972527474051899682101395619054597353082759493739608098762816191738715405830054985633961476014692482833769600581730786760943917673851740325041928320183348381470479624203316095471665249350137699142968267467217211243111255423902412837110233456662715356668533966995230127776309757142749852390969319051434941350316975657683634476624228233953274893929673287141873541148735260260077731740752994737224090473865702906944042710451035166981277602094024814505246467888355255126953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
