[0,0] 453323803388451852672820243154796420828635986024696978523823830400878107448211301500673708963364781129931131144291473459747236633605776789320523263416118735853370984631448070383190892959008876670082973564137301081297740645388051189669635132304440657122706341157398071984215445051207357051365973657852566551158715836577297301080724196354925604832528371250193780264579749477797769196163220303444561008168080185463158329632637558577336751544337836060115223878558148342492988256119705223413254915480339000267672282744226021694480389556590129987151204098269658093929222040482804794747767253726357389543507723159292504079606148627597665687169974152182146438955819089981139961142823097619723168378998894677500932357804949001277220845518848000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -1630511943084470508036080913003411603444964546941140833748369429385971980498710028373586186621180642303509880410346100340550264483780448403905753454287068330056216275843063928764015031940917703902587594607131534913136234724617256282147096312074506237682162257627104891580389598382355506017861995294184441987428760830381402471949814786185973879226456822252677605436659658752210813174508755275089749260474005644653795581438508040753974317056496320113894941831699992411127984079364827048341585121241172909131057563692695802127266767095529132711746646575644778465796658206756004986447682146004318705638892405150019312943670396545244048865551242207633723673795782515168564567632079152117508130352071916396932187226715237297240259411692224512000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] -888497441153862133719839744240801188262472089560832481677752781612864394005405979344302823940208940811177495455087242779396014984355574917290093250497995505171799527072824214489855067622502101025688341611133497764676829191990500834174072752046935267845354944286555515176918664920822356718798720445913640382783659940462446794106549605563626110451945853938449224864093978442607322634150421071165734592630227085330675139777424188681426128191351307997951527422812566441714568723167580803467844887662570406054605668377150036383028298865012194540436553110322002054100702051909888504026221574872146235361165268258963181552553867810190056643844458244754394327721333021557680961280057301323154620163960728690829305672748986291682614860387652240146432000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 47585937130308142522967087246160995547805817318301554754021735324184541812156542239850866691883864550459162386903530006031476508681227506018019312180313728304615774937930227800215552676808505839183901548526546325207658571510985780500755723959038710542597548320594968079982351617771887553287324893911546108090110068934635813226597024014527472832376226624029895011459040796014076147066166707512321936520177767222839156822587114414800582501731215213964059107920218995582662414347701711634978212739064321441744601073036034152949242864284677718542268264155473719951734348849550860407854925347978885782341656133108811219503797147126262375154020561070693104722682318369465608643761923193819863914906519679940580356706101190699694532468329232203776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 5025907865181295080578770188329158127756516642294050027224865845080859755491237710496909065351411858689289874834270815627508630468793484305760828388081729230439133813057364518007880528803485440834799169514743659333819812280059605218905687398072477123452800867431905270086015279775487893773126316697609734576445279024809571800822776652589736830418149395603917229397964103101880892714694055720374335994210450291642620562157873014876383625352197592526479900698667271895771886291870257974593555659779889638542389190251924993771076046654713032880611627771009493792330540433703975422593622413608955181882685431488665683172813956875017001384892542267154222621483104824577732318240615475238928438507195936320477473412787506114404406989860272197077041152000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 55247483892139493547236964048072395572923668921165856113266031607805773328621956934631399994115384044386258048614860310690498659817731003263945408244609975985390076892900568620993078914513617010229830829510732257527908728560427637913951479077546642289705555381312657702976526995096785190749653423291383879274115911624737938090968216488418579971010035689052775452199574253852878350737408862818661118263618092872149251023575197295737478387634841957481163919286788189486465836682056235188351648185939583404957323636768106280965429451847733480775890896805104083914127696423702891294277390190892431755912425029882747173434884984972011591858374146671671297676002217496671287964000434701137309453262044607872847958450857136043887651008551405724853338112000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -222618285808894687990635728060478100655569006891659520509470514267749894682297697828392412567620073181153028938886546280620449353261032412490576832703789074837682177325686141813017318423483997994484289144660541488914377248388167425919946789418467679223062166609711059931553925063882430078908671402745632937702339017913053184975500954631396607726346217851832715249198980497247163651801078803389987397931584003638990222335887861081221245614483724107244654565981993632888302342292753934210017116783886173631329571278479853651823463003789372756079552736427695839292216756641865952958565932372037712449047908705501152229958358079050915615405595802863214368328909033359839510266633108312189910759873566005031820917970259914228952772984945938704367616000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] 87083323116868334846580518443339214334249819837924826705921236546068231995051510427207301060563351873261117648093018144956795803364965453825907758697874559054118897308586158214986155014140024644927584717204335465941014086571410618604269123335408531909888797316351203271576936693232200755722719375251683336975229641519452888988330789797031781498495496714915720562699898748312520582446813574396652052515371724372792387737119288419756053066990478191828087821388270215200814627680528694471862918537053987445895523570371703101980302998796908147619985182087477359684284147599605220037471397013031331408943418114752700134396991011160265719025471198174091853537235294570721305964042641930356346566923659593684778518896335431590155558198217427369389457408000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -1828174078449654285446142554674996712285715271071305815991250399764620812111674602089318181719671023194838317108976474885073621497729471775018910643859986507585785347913481514301598431811944114790362233410113176087849699981317016904710641386553414803870153350858732097504194450357819817424399532032550481453639426625913389141314105993382180000582397766872081977744876638076908914495236877801466449913625243807370905777414430990836944608006370966654089424936013491825124466022773078590207998952329687515891950079914828791556175420096264286420727971647299517081110000344142602983373938435165890978926721130031736473622606980333733493415333389549212365586044544725127167384896266024429502441313671809994987149942891721112686736486036060413066930552832000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 49126022957014861031369104697000927062107390640947119950491805242440734619993739359076758071274430692451902020747324418728561634276075026648093599084595777059872712839731131040679175420351834966510762716113946591304142493422166595847315900680212446359752744841437938289497000483821543217158895451525894513203903214461797023410638670659717816833157580208689110501998683651520923065524548769069239798233281493070732842997317566816215361195972206337316123080203524561116484707003506536659435758479005426128858331343612250914714072872157014421792906083817535054700032371365994572933028900553670209621660261209796613764035481218266698425498390015658625434852065113940491807537203581423190443446365449085666992140084964731649960174269694589064976380461056000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 1891440691983594673821542816466324212028328106303942720989969176536604049500143365691781449640498876030368072972376631846528336486383010277914510098022693029228103944740630554493634115939647350338966261840008848156297442266891112393521247975600286118325436500378596387389189728654478646703346794207286581004331641375785067337382921462426981780304118334755138789052361812050532292394467072127981077567107787237440866983492099183233011493698006122592139666897045146966791846583006206206681205530889935137691745411797388799163672136299130582253477380830491162623257752939100419715852514859845989612810678715501734316969209717515582594354029018922144724005374649515546823434926224600806217671732713522190115999361747018895820689289675794852821860352000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
